scene,speaker,text,label
Ses01F_impro03,Ses01F_impro03_F,Yeah.,neu
Ses01F_impro03,Ses01F_impro03_M,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,neu
Ses01F_impro03,Ses01F_impro03_F,Oh.,
Ses01F_impro03,Ses01F_impro03_F,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,hap
Ses01F_impro03,Ses01F_impro03_M,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu
Ses01F_impro03,Ses01F_impro03_F,Fifty bucks. Mmhmm.,neu
Ses01F_impro03,Ses01F_impro03_M,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",neu
Ses01F_impro03,Ses01F_impro03_F,Yeah.,neu
Ses01F_impro03,Ses01F_impro03_F,Well so now we're married. We have cat children.,hap
Ses01F_impro03,Ses01F_impro03_M,Awesome.,exc
Ses01F_impro03,Ses01F_impro03_M,[LAUGHTER] Cat babies.,hap
Ses01F_impro03,Ses01F_impro03_F,"We renamed Brenda, Lumber Janet.",hap
Ses01F_impro03,Ses01F_impro03_M,That's fair enough.,neu
Ses01F_impro03,Ses01F_impro03_F,She needs a new name each state that we go into. [LAUGHTER],hap
Ses01F_impro04,Ses01F_impro04_M,"Have you tried, uh, Craig's List?",neu
Ses01F_impro04,Ses01F_impro04_F,"Uh, what? Craig's List? Oh the internet thing?",neu
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu
Ses01F_impro04,Ses01F_impro04_F,I don't know. Isn't that-- that's all like escort services and things like that.,neu
Ses01F_impro04,Ses01F_impro04_M,No. There's regular jobs on there.,neu
Ses01F_impro04,Ses01F_impro04_F,"I don't know. I mean I've been looking for so long that I just figured that-- I mean, I think things like Monster are a lot more reliable than just some random free board.",fru
Ses01F_impro04,Ses01F_impro04_M,Uh huh.,neu
Ses01F_impro04,Ses01F_impro04_M,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu
Ses01F_impro04,Ses01F_impro04_F,What kind of a job?,
Ses01F_impro04,Ses01F_impro04_M,He's like a manager for a theatre.,neu
Ses01F_impro04,Ses01F_impro04_F,Really?,
Ses01F_impro04,Ses01F_impro04_M,He's like a house manager. Yeah. It's a good job.,neu
Ses01F_impro04,Ses01F_impro04_F,He just...,neu
Ses01F_impro04,Ses01F_impro04_F,you know what? I heard about that job. I applied for that.,neu
Ses01F_impro04,Ses01F_impro04_M,You did?,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah. I saw a posting at the theatre.,fru
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu
Ses01F_impro04,Ses01F_impro04_F,He got it?,
Ses01F_impro04,Ses01F_impro04_M,You've been looking for a job for a long time; that was a long time ago. Right?,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah.,neu
Ses01F_impro04,Ses01F_impro04_M,Hmm.,neu
Ses01F_impro04,Ses01F_impro04_F,What did he do? What was so great? I don't understand why they would pick him over me.,
Ses01F_impro04,Ses01F_impro04_M,I don't know. He had a really good resume I guess and--,neu
Ses01F_impro04,Ses01F_impro04_F,A resume?,
Ses01F_impro04,Ses01F_impro04_M,Yeah. Do you have a resume?,neu
Ses01F_impro04,Ses01F_impro04_F,No.,
Ses01F_impro04,Ses01F_impro04_M,It's kind of helpful when getting a job.,neu
Ses01F_impro04,Ses01F_impro04_F,I just- I mean I call people up and I tell them what I'm good at.,neu
Ses01F_impro04,Ses01F_impro04_M,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah.,neu
Ses01F_impro04,Ses01F_impro04_F,I don't like- I don't like sending things in the mail. I don't want my information out there.,
Ses01F_impro04,Ses01F_impro04_M,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu
Ses01F_impro04,Ses01F_impro04_F,I'm there in front of them. I'm telling them what I'm good at.,fru
Ses01F_impro04,Ses01F_impro04_M,"Yeah. But the piece of paper helps, too.",neu
Ses01F_impro04,Ses01F_impro04_F,Why? It's a piece of paper.,fru
Ses01F_impro04,Ses01F_impro04_M,"No. But it has an outline, you know.",neu
Ses01F_impro04,Ses01F_impro04_F,"I just don't want this paper trail, you know. I just don't want things following me around, like-.",fru
Ses01F_impro04,Ses01F_impro04_M,"I know. Okay. Well, um. Maybe--",neu
Ses01F_impro04,Ses01F_impro04_F,"It's just-- You know, I've had this problem before. You're not the first person to tell me that I need a resume but...",fru
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu
Ses01F_impro04,Ses01F_impro04_M,"Okay, yeah. I would imagine.",neu
Ses01F_impro04,Ses01F_impro04_F,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,
Ses01F_impro04,Ses01F_impro04_M,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
Ses01F_impro04,Ses01F_impro04_F,"That's baloney, that's baloney.",fru
Ses01F_impro04,Ses01F_impro04_F,Please.,fru
Ses01F_impro04,Ses01F_impro04_M,maybe get a car.,neu
Ses01F_impro04,Ses01F_impro04_M,"I just, you know, think you should try a little harder maybe.",neu
Ses01F_impro04,Ses01F_impro04_F,you think that you're better than me because I don't have a car?,fru
Ses01F_impro04,Ses01F_impro04_M,I didn't say that.,neu
Ses01F_impro04,Ses01F_impro04_F,"You know, you're riding the bus, too.",fru
Ses01F_impro04,Ses01F_impro04_M,"I am riding the bus, but by choice.",neu
Ses01F_impro04,Ses01F_impro04_F,Why? What choice?,fru
Ses01F_impro04,Ses01F_impro04_M,"To save the environment, carpool.",neu
Ses01F_impro04,Ses01F_impro04_F,You're saving the environment. mmhmm,fru
Ses01F_impro04,Ses01F_impro04_M,Yes. One less car at a time.,neu
Ses01F_impro04,Ses01F_impro04_F,Interesting. That's fantastic.,fru
Ses01F_impro04,Ses01F_impro04_M,Mmhmm.,neu
Ses01F_impro04,Ses01F_impro04_M,"You know, you don't have to take out your frustration on me, you know, just because...",fru
Ses01F_impro04,Ses01F_impro04_F,I'm not frustrated.,ang
Ses01F_impro04,Ses01F_impro04_M,...you can't get a job and refuse to have a resume.,fru
Ses01F_impro04,Ses01F_impro04_F,Who do you think you are?,ang
Ses01F_impro04,Ses01F_impro04_M,I don't think I'm anyone.,neu
Ses01F_impro04,Ses01F_impro04_F,You are so high and mighty. I just--,ang
Ses01F_impro04,Ses01F_impro04_M,I- I-I didn't-- okay.,neu
Ses01F_impro04,Ses01F_impro04_F,Oh. I'm saving the environment. I'm riding this car because I- I want to.,ang
Ses01F_impro04,Ses01F_impro04_M,What? No.,
Ses01F_impro04,Ses01F_impro04_M,What? Oh. So now you're...,fru
Ses01F_impro04,Ses01F_impro04_F,"The bus, I'm riding the bus because I want to.",ang
Ses01F_impro04,Ses01F_impro04_M,you know what? You don't have to take your anger and your hurt out on me.,fru
Ses01F_impro04,Ses01F_impro04_F,I can not-- you are not here by choice. Nobody would ride this bus by choice.,ang
Ses01F_impro04,Ses01F_impro04_M,Why not?,
Ses01F_impro05,Ses01F_impro05_F,Hi.,fru
Ses01F_impro05,Ses01F_impro05_M,Hi. Thanks for waiting.,neu
Ses01F_impro05,Ses01F_impro05_F,Yeah. This is the fourth line that I have been in.,fru
Ses01F_impro05,Ses01F_impro05_M,Can I help you?,hap
Ses01F_impro05,Ses01F_impro05_M,Uh huh.,hap
Ses01F_impro05,Ses01F_impro05_F,I need my bag.,fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu
Ses01F_impro05,Ses01F_impro05_F,"I flew in over three hours ago, I've been in four different lines.",fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu
Ses01F_impro05,Ses01F_impro05_F,I waited the entire baggage- I waited for the whole baggage carousel four times. They told me to go to the next one. I waited through that for three planes and now I'm here.,fru
Ses01F_impro05,Ses01F_impro05_M,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,neu
Ses01F_impro05,Ses01F_impro05_F,Nash.,fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu
Ses01F_impro05,Ses01F_impro05_F,No G.,
Ses01F_impro05,Ses01F_impro05_M,all right- okay. And you lost your bag? Is that- that the issue?,neu
Ses01F_impro05,Ses01F_impro05_F,Yes.,fru
Ses01F_impro05,Ses01F_impro05_F,Flight seven fourteen.,ang
Ses01F_impro05,Ses01F_impro05_M,Uh-huh.,neu
Ses01F_impro05,Ses01F_impro05_F,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
Ses01F_impro05,Ses01F_impro05_M,"Yeah. Yeah, I don't see- I don't see any--",neu
Ses01F_impro05,Ses01F_impro05_M,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu
Ses01F_impro05,Ses01F_impro05_M,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",neu
Ses01F_impro05,Ses01F_impro05_F,"Oh, Are you kidding me?",
Ses01F_impro05,Ses01F_impro05_M,"for such an inconvenience and your bag, but",neu
Ses01F_impro05,Ses01F_impro05_F,Is this a joke?,ang
Ses01F_impro05,Ses01F_impro05_M,Yeah.,neu
Ses01F_impro05,Ses01F_impro05_M,"No, no.",neu
Ses01F_impro05,Ses01F_impro05_F,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",ang
Ses01F_impro05,Ses01F_impro05_M,"No, no. This is real.",neu
Ses01F_impro05,Ses01F_impro05_F,So you'll give me money and then I'll get my bag?,
Ses01F_impro05,Ses01F_impro05_M,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",neu
Ses01F_impro05,Ses01F_impro05_M,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
Ses01F_impro05,Ses01F_impro05_F,"You're kidding me, this is a joke.",ang
Ses01F_impro05,Ses01F_impro05_M,"Once again, I'm really- I'm really sorry.",
Ses01F_impro05,Ses01F_impro05_F,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,ang
Ses01F_impro05,Ses01F_impro05_M,Yes.,neu
Ses01F_impro05,Ses01F_impro05_M,I know.,neu
Ses01F_impro05,Ses01F_impro05_F,We flew in from Paris. I've been shopping for three weeks.,ang
Ses01F_impro05,Ses01F_impro05_M,"I'm very sorry. But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",
Ses01F_impro05,Ses01F_impro05_F,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang
Ses01F_impro05,Ses01F_impro05_M,Okay. Calm-,neu
Ses01F_impro05,Ses01F_impro05_M,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
Ses01F_impro05,Ses01F_impro05_F,Do you understand who my husband is?,ang
Ses01F_impro05,Ses01F_impro05_F,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang
Ses01F_impro05,Ses01F_impro05_M,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",neu
Ses01F_impro05,Ses01F_impro05_F,Oh-Oh. It's a gift. You're-You're helping me out here?,ang
Ses01F_impro05,Ses01F_impro05_M,It's a gift.,neu
Ses01F_impro05,Ses01F_impro05_M,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
Ses01F_impro05,Ses01F_impro05_F,You are cruising for a bruising. You are in so much trouble.,ang
Ses01F_impro05,Ses01F_impro05_M,With the amount of--,neu
Ses01F_impro05,Ses01F_impro05_F,Who's in charge? Who is the president of Jet Blue?,ang
Ses01F_impro05,Ses01F_impro05_M,"Um, actually, I don't know. I don't know. Oh really?",neu
Ses01F_impro05,Ses01F_impro05_F,Because I probably know him.,ang
Ses01F_impro05,Ses01F_impro05_F,Yeah.,ang
Ses01F_impro05,Ses01F_impro05_M,Well then maybe you can just call him and he can give you more money. But right now all I can do--,neu
Ses01F_impro05,Ses01F_impro05_F,"I don't want money, I want my clothes.",ang
Ses01F_impro05,Ses01F_impro05_M,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
Ses01F_impro05,Ses01F_impro05_F,What's your name?,ang
Ses01F_impro05,Ses01F_impro05_M,Oh. My name is Sean. Hi.,neu
Ses01F_impro05,Ses01F_impro05_F,Sean. Great. Do you have a badge number or something?,
Ses01F_impro05,Ses01F_impro05_M,"Badge number? Uh, no. You can just take my employee number I guess.",
Ses01F_impro05,Ses01F_impro05_F,Okay. I'll do that.,ang
Ses01F_impro05,Ses01F_impro05_M,Why? Have I done something wrong? Have I given you bad service? I feel like I have done the best I could.,
Ses01F_impro05,Ses01F_impro05_F,I don't think you have done everything you could do because I don't have my bag here yet.,ang
Ses01F_impro05,Ses01F_impro05_M,"If you want, you can write a letter. I can give you the address. Yes. An angry--",neu
Ses01F_impro05,Ses01F_impro05_F,A letter? I'll make a personal phone call.,ang
Ses01F_impro05,Ses01F_impro05_M,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",neu
Ses01F_impro06,Ses01F_impro06_M,"I'm sorry, Joy.",sad
Ses01F_impro06,Ses01F_impro06_F,It's okay.,
Ses01F_impro06,Ses01F_impro06_M,Is there anything I can get you? Do you want me to take care of anything for you or...?,neu
Ses01F_impro06,Ses01F_impro06_F,"No, no, no.",
Ses01F_impro06,Ses01F_impro06_M,...pick up anything?,neu
Ses01F_impro06,Ses01F_impro06_F,No.,sad
Ses01F_impro06,Ses01F_impro06_M,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
Ses01F_impro06,Ses01F_impro06_F,That's sweet.,neu
Ses01F_impro06,Ses01F_impro06_F,Thank you.,neu
Ses01F_impro06,Ses01F_impro06_F,I went to see her headstone a week or two ago.,sad
Ses01F_impro06,Ses01F_impro06_F,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
Ses01F_impro06,Ses01F_impro06_M,Hmm.,neu
Ses01F_impro06,Ses01F_impro06_F,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,sad
Ses01F_impro06,Ses01F_impro06_F,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,sad
Ses01F_impro06,Ses01F_impro06_F,"this woman came up and, you know, it was hers. It was her person that was there.",neu
Ses01F_impro06,Ses01F_impro06_M,Oh. She was there?,neu
Ses01F_impro06,Ses01F_impro06_F,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",sad
Ses01F_impro06,Ses01F_impro06_F,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu
Ses01F_impro06,Ses01F_impro06_F,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",sad
Ses01F_impro06,Ses01F_impro06_M,Yeah.,sad
Ses01F_impro06,Ses01F_impro06_F,I don't know.,sad
Ses01F_impro06,Ses01F_impro06_M,How long were you there for?,neu
Ses01F_impro06,Ses01F_impro06_F,At the cemetery?,sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu
Ses01F_impro06,Ses01F_impro06_F,couple hours.,sad
Ses01F_impro06,Ses01F_impro06_F,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",neu
Ses01F_impro06,Ses01F_impro06_M,Oh really?,neu
Ses01F_impro06,Ses01F_impro06_M,You ran through the sprinklers in the cemetery?,neu
Ses01F_impro06,Ses01F_impro06_F,It was hot.[LIPSMACK],
Ses01F_impro06,Ses01F_impro06_M,Is it a big cemetery?,neu
Ses01F_impro06,Ses01F_impro06_F,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,neu
Ses01F_impro06,Ses01F_impro06_M,"Oh, so they're like really old too, really old ones?",neu
Ses01F_impro06,Ses01F_impro06_F,Yeah.,neu
Ses01F_impro06,Ses01F_impro06_F,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",sad
Ses01F_impro06,Ses01F_impro06_F,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",sad
Ses01F_impro06,Ses01F_impro06_F,She used to have these poetry parties on Memorial Day.,sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu
Ses01F_impro06,Ses01F_impro06_F,Umm. Yeah.,sad
Ses01F_impro06,Ses01F_impro06_F,"And the last time before she died, I remember she couldn't really stand, umm...",sad
Ses01F_impro06,Ses01F_impro06_F,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu
Ses01F_impro06,Ses01F_impro06_F,"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
Ses01F_impro06,Ses01F_impro06_M,So she wrote a lot of poetry?,neu
Ses01F_impro06,Ses01F_impro06_F,"There's another one, I can't remember.",neu
Ses01F_impro06,Ses01F_impro06_F,"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?",sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.Mmhmm.Mmhmm.,
Ses01F_impro07,Ses01F_impro07_M,Did you get the letter?,exc
Ses01F_impro07,Ses01F_impro07_F,"Yes. There's a big envelope it says, you're in. I know.",exc
Ses01F_impro07,Ses01F_impro07_M,Yeah. That is so awesome.,exc
Ses01F_impro07,Ses01F_impro07_M,Oh my God. What are you going to do? [LAUGHTER],exc
Ses01F_impro07,Ses01F_impro07_F,So I have to move back to the ghetto but...I know.,
Ses01F_impro07,Ses01F_impro07_M,"Oh-Yeah, I bet you're really excited. Oh. That's what loans are for? Right? Exactly.",exc
Ses01F_impro07,Ses01F_impro07_F,"I'm really excited. Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah. Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",exc
Ses01F_impro07,Ses01F_impro07_M,"Oh. Good, good. That's awesome. Are you going to stay around here? Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",exc
Ses01F_impro07,Ses01F_impro07_F,"Oh- I know, I know, I know, I know.",exc
Ses01F_impro07,Ses01F_impro07_F,"I don't know. I spend so much time commuting as it is, I'd rather.",exc
Ses01F_impro07,Ses01F_impro07_M,This is so- I am so happy that you're going to stay. You're not going to...We should totally throw a party.,exc
Ses01F_impro07,Ses01F_impro07_F,I know. We should throw a party.,exc
