scene,speaker,text,label,sentiment,label_filled
Ses01F_impro02,Ses01F_impro02_F,"We're doing the right thing, though.",,neutral,sad
Ses01F_impro02,Ses01F_impro02_M,I know.,fru,negative,fru
Ses01F_impro02,Ses01F_impro02_M,I just don't see why it has to be you.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"If not me then, who?",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,What am I going to do? Huh?,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"You'll videotape everything, yeah?",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,Yeah.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"Maybe you can send it to me, like stream it, yeah?",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,Don't you guys have access to computers over there.,neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_F,Last month-- Yeah.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,I just don't know how I'm going to do it without you.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,I have to find sitters.,neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_M,I can't raise a baby by myself. How?,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,I know.,neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_F,And your mother is close by.,neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_F,I'll send you lots of letters.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,And I want lots and lots and lots of pictures.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,It's just not fair.,fru,negative,fru
Ses01F_impro03,Ses01F_impro03_M,So what's up? What's new?,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Well Vegas was awesome.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah. I heard.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,"And, um, I got married.",hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Shut up. No- in Vegas?,,neutral,hap
Ses01F_impro03,Ses01F_impro03_F,Yeah. In the old town part.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Who did you marry?,exc,positive,exc
Ses01F_impro03,Ses01F_impro03_F,Chuck. [LAUGHTER],,neutral,hap
Ses01F_impro03,Ses01F_impro03_M,Did you propose to you?,,neutral,hap
Ses01F_impro03,Ses01F_impro03_F,Um- Yes. It was very romantic.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,It was at the slot machines.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Oh. The Wheel of Fortune slots?,,neutral,hap
Ses01F_impro03,Ses01F_impro03_F,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,He turned to you and was like...,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Hey. Let's get married and I said okay.,,neutral,hap
Ses01F_impro03,Ses01F_impro03_M,[LAUGHTER] That's really romantic.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,"Yeah. Well. You know, because he's leaving the next day.",hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,But we're going to have a honeymoon cruise.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Oh. I hadn't even thought about that.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah. Think about that.,,neutral,hap
Ses01F_impro03,Ses01F_impro03_F,"He's not going to be a citizen, though.",,neutral,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Oh. Totally.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,"Oh, how are you going to do the long distance thing? So wait, are you going to move there?",,neutral,hap
Ses01F_impro03,Ses01F_impro03_F,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Like you need another one of those.[LAUGHTER],hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,I have an internet boyfriend. I guess I'll have to juggle the two. Is that cheating? I don't know. Hmm.,,neutral,hap
Ses01F_impro03,Ses01F_impro03_M,Is that your phone?,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,"Yeah, so [LAUGHTER] He's calling me now",exc,positive,exc
Ses01F_impro03,Ses01F_impro03_M,He loves you.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,"He likes to keep tabs, you know.",hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,How much did he win at the slot?,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,"Uh, I think seven hundred and fifty dollars.",neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_M,Really? Penny slots?,,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Penny slots. That's what he plays.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_M,Wow.,,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Yeah.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_M,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Oh.,,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Fifty bucks. Mmhmm.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_M,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Yeah.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,Well so now we're married. We have cat children.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,Awesome.,exc,positive,exc
Ses01F_impro03,Ses01F_impro03_M,[LAUGHTER] Cat babies.,hap,positive,hap
Ses01F_impro03,Ses01F_impro03_F,"We renamed Brenda, Lumber Janet.",hap,positive,hap
Ses01F_impro03,Ses01F_impro03_M,That's fair enough.,neu,neutral,neu
Ses01F_impro03,Ses01F_impro03_F,She needs a new name each state that we go into. [LAUGHTER],hap,positive,hap
Ses01F_impro04,Ses01F_impro04_M,"Have you tried, uh, Craig's List?",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"Uh, what? Craig's List? Oh the internet thing?",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,I don't know. Isn't that-- that's all like escort services and things like that.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,No. There's regular jobs on there.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"I don't know. I mean I've been looking for so long that I just figured that-- I mean, I think things like Monster are a lot more reliable than just some random free board.",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,Uh huh.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,What kind of a job?,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,He's like a manager for a theatre.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Really?,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,He's like a house manager. Yeah. It's a good job.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,He just...,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,you know what? I heard about that job. I applied for that.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,You did?,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah. I saw a posting at the theatre.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,He got it?,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,You've been looking for a job for a long time; that was a long time ago. Right?,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,Hmm.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,What did he do? What was so great? I don't understand why they would pick him over me.,,positive,neu
Ses01F_impro04,Ses01F_impro04_M,I don't know. He had a really good resume I guess and--,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,A resume?,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,Yeah. Do you have a resume?,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,No.,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,It's kind of helpful when getting a job.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,I just- I mean I call people up and I tell them what I'm good at.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Yeah.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,I don't like- I don't like sending things in the mail. I don't want my information out there.,,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,I'm there in front of them. I'm telling them what I'm good at.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,"Yeah. But the piece of paper helps, too.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Why? It's a piece of paper.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,"No. But it has an outline, you know.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"I just don't want this paper trail, you know. I just don't want things following me around, like-.",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,"I know. Okay. Well, um. Maybe--",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"It's just-- You know, I've had this problem before. You're not the first person to tell me that I need a resume but...",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,Yeah.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,"Okay, yeah. I would imagine.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,,neutral,fru
Ses01F_impro04,Ses01F_impro04_M,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"That's baloney, that's baloney.",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_F,Please.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,maybe get a car.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,"I just, you know, think you should try a little harder maybe.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,you think that you're better than me because I don't have a car?,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,I didn't say that.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,"You know, you're riding the bus, too.",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,"I am riding the bus, but by choice.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Why? What choice?,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,"To save the environment, carpool.",neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,You're saving the environment. mmhmm,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,Yes. One less car at a time.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Interesting. That's fantastic.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_M,Mmhmm.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_M,"You know, you don't have to take out your frustration on me, you know, just because...",fru,negative,fru
Ses01F_impro04,Ses01F_impro04_F,I'm not frustrated.,ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,...you can't get a job and refuse to have a resume.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_F,Who do you think you are?,ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,I don't think I'm anyone.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,You are so high and mighty. I just--,ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,I- I-I didn't-- okay.,neu,neutral,neu
Ses01F_impro04,Ses01F_impro04_F,Oh. I'm saving the environment. I'm riding this car because I- I want to.,ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,What? No.,,neutral,ang
Ses01F_impro04,Ses01F_impro04_M,What? Oh. So now you're...,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_F,"The bus, I'm riding the bus because I want to.",ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,you know what? You don't have to take your anger and your hurt out on me.,fru,negative,fru
Ses01F_impro04,Ses01F_impro04_F,I can not-- you are not here by choice. Nobody would ride this bus by choice.,ang,negative,ang
Ses01F_impro04,Ses01F_impro04_M,Why not?,,neutral,ang
Ses01F_impro05,Ses01F_impro05_F,Hi.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Hi. Thanks for waiting.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Yeah. This is the fourth line that I have been in.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Can I help you?,hap,positive,hap
Ses01F_impro05,Ses01F_impro05_M,Uh huh.,hap,positive,hap
Ses01F_impro05,Ses01F_impro05_F,I need my bag.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"I flew in over three hours ago, I've been in four different lines.",fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,I waited the entire baggage- I waited for the whole baggage carousel four times. They told me to go to the next one. I waited through that for three planes and now I'm here.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Nash.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_M,Okay.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,No G.,,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,all right- okay. And you lost your bag? Is that- that the issue?,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Yes.,fru,negative,fru
Ses01F_impro05,Ses01F_impro05_F,Flight seven fourteen.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Uh-huh.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"Yeah. Yeah, I don't see- I don't see any--",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"Oh, Are you kidding me?",,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"for such an inconvenience and your bag, but",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Is this a joke?,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Yeah.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"No, no.",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"No, no. This is real.",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,So you'll give me money and then I'll get my bag?,,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"You're kidding me, this is a joke.",ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"Once again, I'm really- I'm really sorry.",,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Yes.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,I know.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,We flew in from Paris. I've been shopping for three weeks.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"I'm very sorry. But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Okay. Calm-,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Do you understand who my husband is?,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_F,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Oh-Oh. It's a gift. You're-You're helping me out here?,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,It's a gift.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_M,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,You are cruising for a bruising. You are in so much trouble.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,With the amount of--,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Who's in charge? Who is the president of Jet Blue?,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"Um, actually, I don't know. I don't know. Oh really?",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Because I probably know him.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_F,Yeah.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Well then maybe you can just call him and he can give you more money. But right now all I can do--,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,"I don't want money, I want my clothes.",ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,What's your name?,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Oh. My name is Sean. Hi.,neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,Sean. Great. Do you have a badge number or something?,,positive,neu
Ses01F_impro05,Ses01F_impro05_M,"Badge number? Uh, no. You can just take my employee number I guess.",,negative,ang
Ses01F_impro05,Ses01F_impro05_F,Okay. I'll do that.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,Why? Have I done something wrong? Have I given you bad service? I feel like I have done the best I could.,,negative,ang
Ses01F_impro05,Ses01F_impro05_F,I don't think you have done everything you could do because I don't have my bag here yet.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"If you want, you can write a letter. I can give you the address. Yes. An angry--",neu,neutral,neu
Ses01F_impro05,Ses01F_impro05_F,A letter? I'll make a personal phone call.,ang,negative,ang
Ses01F_impro05,Ses01F_impro05_M,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_M,"I'm sorry, Joy.",sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,It's okay.,,neutral,neu
Ses01F_impro06,Ses01F_impro06_M,Is there anything I can get you? Do you want me to take care of anything for you or...?,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,"No, no, no.",,neutral,sad
Ses01F_impro06,Ses01F_impro06_M,...pick up anything?,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,No.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,That's sweet.,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,Thank you.,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,I went to see her headstone a week or two ago.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,Hmm.,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,"this woman came up and, you know, it was hers. It was her person that was there.",neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_M,Oh. She was there?,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,Yeah.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_F,I don't know.,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,How long were you there for?,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,At the cemetery?,sad,negative,sad
Ses01F_impro06,Ses01F_impro06_M,Mmhmm.,neu,neutral,neu
Ses01F_impro06,Ses01F_impro06_F,couple hours.,sad,negative,sad
