data_split,dialogue_id,original_id,speaker,utterance,emotion
train,dailydialog-train-3,train-3,user,Don't worry. He is an acrobat 。,no emotion
train,dailydialog-train-3,train-3,system,I see.,no emotion
train,dailydialog-train-4,train-4,user,"Hey John, nice skates. Are they new?",no emotion
train,dailydialog-train-4,train-4,system,"Yeah, I just got them. I started playing ice hockey in a community league. So, I finally got myself new skates.",no emotion
train,dailydialog-train-4,train-4,user,What position do you play?,no emotion
train,dailydialog-train-4,train-4,system,I'm a defender. It's a lot of fun. You don't have to be able to skate as fast on defense.,no emotion
train,dailydialog-train-4,train-4,user,"Yeah, you're a pretty big guy. I play goalie, myself.",no emotion
train,dailydialog-train-4,train-4,system,"Oh, yeah? Which team?",surprise
train,dailydialog-train-4,train-4,user,The Rockets.,no emotion
train,dailydialog-train-4,train-4,system,"Really? I think we play you guys next week. Well, I have to go to practice. See you later.",surprise
train,dailydialog-train-4,train-4,user,"All right, see you later.",no emotion
train,dailydialog-train-5,train-5,user,"Hey Lydia, what are you reading?",no emotion
train,dailydialog-train-5,train-5,system,"I'm looking at my horoscope for this month! My outlook is very positive. It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling!",happiness
train,dailydialog-train-5,train-5,user,What are you talking about? Let me see that... What are horoscopes?,no emotion
train,dailydialog-train-5,train-5,system,"It's a prediction of your month, based on your zodiac sign. You have a different sign for the month and date you were born in. I was born on April 15th, so I'm an Aries. When were you born?",no emotion
train,dailydialog-train-5,train-5,user,January 5th.,no emotion
train,dailydialog-train-5,train-5,system,"Let's see. . . you're a Capricorn. It says that you will be feeling stress at work, but you could see new, exciting developments in your love life. Looks like we'll both have interesting summers!",happiness
train,dailydialog-train-5,train-5,user,"That's bogus. I don't feel any stress at work, and my love life is practically nonexistent. This zodiac stuff is all a bunch of nonsense.",no emotion
train,dailydialog-train-5,train-5,system,"No, it's not, your astrology sign can tell you a lot about your personality. See? It says that an Aries is energetic and loves to socialize.",no emotion
train,dailydialog-train-5,train-5,user,"Well, you certainly match those criteria, but they're so broad they could apply to anyone. What does it say about me?",no emotion
train,dailydialog-train-5,train-5,system,A Capricorn is serious-minded and practical. She likes to do things in conventional ways. That sounds just like you!,happiness
train,dailydialog-train-6,train-6,user,"Frank's getting married, do you believe this?",no emotion
train,dailydialog-train-6,train-6,system,Is he really?,surprise
train,dailydialog-train-6,train-6,user,"Yes, he is. He loves the girl very much.",no emotion
train,dailydialog-train-6,train-6,system,Who is he marring?,no emotion
train,dailydialog-train-6,train-6,user,"A girl he met on holiday in Spain, I think.",no emotion
train,dailydialog-train-6,train-6,system,Have they set a date for the wedding?,no emotion
train,dailydialog-train-6,train-6,user,Not yet.,no emotion
train,dailydialog-train-7,train-7,user,I hear you bought a new house in the northern suburbs.,no emotion
train,dailydialog-train-7,train-7,system,"That's right, we bought it the same day we came on the market.",no emotion
train,dailydialog-train-7,train-7,user,What kind of house is it?,no emotion
train,dailydialog-train-7,train-7,system,It's a wonderful Spanish style.,happiness
train,dailydialog-train-7,train-7,user,"Oh, I love the roof tiles on Spanish style houses.",happiness
train,dailydialog-train-7,train-7,system,And it's a bargaining. A house like this in river side costs double the price.,happiness
train,dailydialog-train-7,train-7,user,"Great, is it a two bedroom house?",happiness
train,dailydialog-train-7,train-7,system,"No, it has three bedrooms and three beds, and has a living room with a twelve-foot ceiling. There's a two-car garage.",no emotion
train,dailydialog-train-7,train-7,user,That's a nice area too. It'll be a good investment for you.,happiness
train,dailydialog-train-7,train-7,system,"Yeas, when will you buy a house?",no emotion
train,dailydialog-train-7,train-7,user,"Not untill the end of this year, you know, just before my wedding.",no emotion
train,dailydialog-train-7,train-7,system,"Right, congratulations.",happiness
train,dailydialog-train-7,train-7,user,Thank you.,happiness
train,dailydialog-train-8,train-8,user,"Hi, Becky, what's up?",no emotion
train,dailydialog-train-8,train-8,system,"Not much, except that my mother-in-law is driving me up the wall.",no emotion
train,dailydialog-train-8,train-8,user,What's the problem?,no emotion
train,dailydialog-train-8,train-8,system,She loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around.,no emotion
train,dailydialog-train-8,train-8,user,For example?,no emotion
train,dailydialog-train-8,train-8,system,"Well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her.",no emotion
train,dailydialog-train-8,train-8,user,"No, I can't see that happening. I know you're a good cook and nothing like that would ever happen.",no emotion
train,dailydialog-train-8,train-8,system,It's not just that. She also criticizes how we raise the kids.,no emotion
train,dailydialog-train-8,train-8,user,"My mother-in-law used to do the same thing to us. If it wasn't disciplining them enough, then we were disciplining them too much. She also complained about the food we fed them, the schools we sent them too, and everything else under the sun.",no emotion
train,dailydialog-train-8,train-8,system,You said she used to? How did you stop her?,no emotion
train,dailydialog-train-8,train-8,user,"We basically sat her down and told her how we felt about her constant criticizing, and how we welcomed her advice but hoped she'd let us do our things. She understood, and now everything is a lot more peaceful.",no emotion
train,dailydialog-train-8,train-8,system,That sounds like a good idea. I'll have to try that.,happiness
train,dailydialog-train-9,train-9,user,How are Zina's new programmers working out?,no emotion
train,dailydialog-train-9,train-9,system,"I hate to admit it, but they're good. And fast. The Filipino kid is a genius.",no emotion
train,dailydialog-train-9,train-9,user,"So you'll make the Stars.com deadline, and have us up and running next week?",no emotion
train,dailydialog-train-9,train-9,system,"It'll be close, but we'll make it.",no emotion
train,dailydialog-train-9,train-9,user,"Good. After Stars.com starts paying us, we won't need Vikam's cash anymore.",no emotion
train,dailydialog-train-9,train-9,system,"And if we don't need them, we won't need Zina, either.",no emotion
train,dailydialog-train-10,train-10,user,Do you like cooking?,no emotion
train,dailydialog-train-10,train-10,system,Yes. I like cooking very much. I got this hobby when I was 12 years sold.,happiness
train,dailydialog-train-10,train-10,user,Why do you like it?,no emotion
train,dailydialog-train-10,train-10,system,I have no idea. I like cooking by myself. I like to taste delicious food.,no emotion
train,dailydialog-train-10,train-10,user,That's wonderful!,happiness
train,dailydialog-train-10,train-10,system,"And I love trying new recipes, which I usually test with my friends. You can come, too.",no emotion
train,dailydialog-train-10,train-10,user,Really? I hope I can have a chance to taste it. Don't forget to tell me.,surprise
train,dailydialog-train-10,train-10,system,Certainly.,no emotion
train,dailydialog-train-11,train-11,user,Anyone home? Jen!,no emotion
train,dailydialog-train-11,train-11,system,I'm in the kitchen... let yourself in!,no emotion
train,dailydialog-train-11,train-11,user,Wow! You're really working up a storm!,no emotion
train,dailydialog-train-11,train-11,system,I know. I've even worked up a sweat.,no emotion
train,dailydialog-train-11,train-11,user,You look like a cooking show host--only messier.,no emotion
train,dailydialog-train-12,train-12,user,You look so tan and healthy!,happiness
train,dailydialog-train-12,train-12,system,Thanks. I just got back from summer camp.,happiness
train,dailydialog-train-12,train-12,user,How was it?,no emotion
train,dailydialog-train-12,train-12,system,Great. I got to try so many things for the first time.,happiness
train,dailydialog-train-12,train-12,user,Like what?,no emotion
train,dailydialog-train-12,train-12,system,"I went sailing, fishing, and horseback riding.",no emotion
train,dailydialog-train-12,train-12,user,I'm so jealous.,no emotion
train,dailydialog-train-12,train-12,system,The counselors were so nice too. It was the best summer ever. Except for all those mosquitoes!,happiness
train,dailydialog-train-13,train-13,user,"Diana, do you like the perfume I gave you?",no emotion
train,dailydialog-train-13,train-13,system,"It's good. But to tell you the truth, I don't wear perfume.",no emotion
train,dailydialog-train-13,train-13,user,I'm sorry. I didn't know that.,no emotion
train,dailydialog-train-13,train-13,system,That's all right. Thank you all the same.,happiness
train,dailydialog-train-14,train-14,user,"Ah, ah, ah ...",no emotion
train,dailydialog-train-14,train-14,system,"All right, Bill. Here' s your daily exercise schedule. You are to jog before breakfast.",no emotion
train,dailydialog-train-14,train-14,user,Jog?,no emotion
train,dailydialog-train-14,train-14,system,"Then, you are to walk to work.",no emotion
train,dailydialog-train-14,train-14,user,Walk?,no emotion
train,dailydialog-train-14,train-14,system,Thirty minutes in gym at lunch time.,no emotion
train,dailydialog-train-14,train-14,user,Oh no.,no emotion
train,dailydialog-train-14,train-14,system,"Use the stairs, never the elevator.",no emotion
train,dailydialog-train-14,train-14,user,"Oh, dear.",no emotion
train,dailydialog-train-14,train-14,system,"And three times a week, you can either swim, play racketball, or hand ball.",no emotion
train,dailydialog-train-14,train-14,user,Oh no.,no emotion
train,dailydialog-train-14,train-14,system,"OK, you can stop now. It' s time for the dance class.",no emotion
train,dailydialog-train-14,train-14,user,Dance class! I don't know how.,no emotion
train,dailydialog-train-14,train-14,system,You will.,no emotion
train,dailydialog-train-14,train-14,user,Oh ...,no emotion
train,dailydialog-train-15,train-15,user,"Hi Bill, I saw your grandma yesterday.",no emotion
train,dailydialog-train-15,train-15,system,Oh where was that?,no emotion
train,dailydialog-train-15,train-15,user,I was running around the track at my college and there she was walking around the same track.,no emotion
train,dailydialog-train-15,train-15,system,Grannie always tries to stay fit and healthy. She is always making us kids eat the proper foods.,no emotion
train,dailydialog-train-15,train-15,user,"Well, it pays off for her. How old is she anyway?",no emotion
train,dailydialog-train-15,train-15,system,She will be 86 next month.,no emotion
train,dailydialog-train-15,train-15,user,That is truly amazing!,surprise
train,dailydialog-train-16,train-16,user,I would like to register for a class today.,no emotion
train,dailydialog-train-16,train-16,system,"No problem, what class would you like to take?",no emotion
train,dailydialog-train-16,train-16,user,I would very much enjoy taking a Psychology class. Because I'm crazy.,no emotion
train,dailydialog-train-16,train-16,system,There are two classes that are still open.,no emotion
train,dailydialog-train-16,train-16,user,Which days are these classes on?,no emotion
train,dailydialog-train-16,train-16,system,The first class is a Tuesday and Thursday class from two to three.,no emotion
train,dailydialog-train-16,train-16,user,What about the other class?,no emotion
train,dailydialog-train-16,train-16,system,The other class is on Monday and Wednesday from 10 am - 12.,no emotion
train,dailydialog-train-16,train-16,user,Are you sure there are no more open classes?,no emotion
train,dailydialog-train-16,train-16,system,I'm positive.,no emotion
train,dailydialog-train-16,train-16,user,Sign me up for Monday and Wednesday.,no emotion
train,dailydialog-train-16,train-16,system,"Okay, I'll sign you up.",no emotion
train,dailydialog-train-17,train-17,user,"Dad, why are you taping the windows?",no emotion
train,dailydialog-train-17,train-17,system,"Honey, a typhoon is coming.",no emotion
train,dailydialog-train-17,train-17,user,"Really? Wow, I don't have to go to school tomorrow.",surprise
train,dailydialog-train-17,train-17,system,"Jenny, come and help, we need to prepare more food.",no emotion
train,dailydialog-train-17,train-17,user,OK. Dad! I'm coming.,no emotion
train,dailydialog-train-18,train-18,user,"Hi, my name is Lean, and I'm from Russia.",no emotion
train,dailydialog-train-18,train-18,system,"Nice to meet you, Lean. My name is Alike. I'm from Japan.",no emotion
train,dailydialog-train-18,train-18,user,To me English is a difficult language.,no emotion
train,dailydialog-train-18,train-18,system,A second language is always difficult.,no emotion
train,dailydialog-train-18,train-18,user,"True, but English is harder than most. It's a crazy language.",no emotion
train,dailydialog-train-18,train-18,system,A crazy language? Why do you say that?,surprise
train,dailydialog-train-18,train-18,user,One letter can have several pronunciations and one word can have several meanings.,no emotion
train,dailydialog-train-18,train-18,system,No wonder you say English is a crazy language.,no emotion
train,dailydialog-train-19,train-19,user,Can I help you?,no emotion
train,dailydialog-train-19,train-19,system,"I hope so. I'm looking for some material for a paper I'm writing, and I'm not quite sure where to look.",no emotion
train,dailydialog-train-19,train-19,user,I'll certainly try to help you. What topic is your paper on?,no emotion
train,dailydialog-train-19,train-19,system,My paper is on the influence of television on children.,no emotion
train,dailydialog-train-19,train-19,user,There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.,no emotion
train,dailydialog-train-19,train-19,system,Thank you for you help.,happiness
train,dailydialog-train-20,train-20,user,Here's your hot dog and beer. What happened? Did I miss anything?,no emotion
train,dailydialog-train-20,train-20,system,"Yeah, Cal Ripen just hit a home run.",no emotion
train,dailydialog-train-20,train-20,user,What's the score?,no emotion
train,dailydialog-train-20,train-20,system,"Well it was 3 to 4, but Ripen's home run made it 5 to 4 since another player was on first base.",no emotion
train,dailydialog-train-20,train-20,user,So Baltimore is winning?,no emotion
train,dailydialog-train-20,train-20,system,Right.,happiness
train,dailydialog-train-20,train-20,user,This is a really great place to watch a baseball game.,happiness
train,dailydialog-train-20,train-20,system,"Yeah, there isn't a bad seat in the place.",happiness
train,dailydialog-train-20,train-20,user,"The fans are great here, too. Not like in Philadelphia.",happiness
train,dailydialog-train-20,train-20,system,It was a great idea to spend a day watching a game.,happiness
train,dailydialog-train-20,train-20,user,"Yeah, it reminds you why they say baseball is America's favorite pastime.",happiness
train,dailydialog-train-21,train-21,user,How do you like the pizza here?,happiness
train,dailydialog-train-21,train-21,system,Perfect. It really hits the spot.,happiness
train,dailydialog-train-22,train-22,user,Do you have a light?,no emotion
train,dailydialog-train-22,train-22,system,"Sorry, I don't smoke.",no emotion
train,dailydialog-train-23,train-23,user,I was scared stiff of giving my first performance.,fear
train,dailydialog-train-23,train-23,system,Were you? your performance was excellent.,happiness
train,dailydialog-train-23,train-23,user,Thank you for your kindly words.,happiness
train,dailydialog-train-24,train-24,user,Excuse me. Could you please take a picture of us with this camera?,no emotion
train,dailydialog-train-24,train-24,system,Sure. Which button do I press to shoot?,happiness
train,dailydialog-train-24,train-24,user,This one.,no emotion
train,dailydialog-train-24,train-24,system,Do I have to focus it?,no emotion
train,dailydialog-train-24,train-24,user,"No, this is a focus-free camera. All you have to do is point and press the button.",no emotion
train,dailydialog-train-24,train-24,system,All right. Say cheese!,happiness
train,dailydialog-train-25,train-25,user,Every country should face the history.,no emotion
train,dailydialog-train-25,train-25,system,"Yeah, we don't live in the vacuum. We have traditional values and long but different history.",no emotion
train,dailydialog-train-25,train-25,user,"Sometimes, we, human beings, really had done something wrong, so we should admit it at first.",no emotion
train,dailydialog-train-25,train-25,system,But there is always somebody who wants to turn his back on the true history.,no emotion
train,dailydialog-train-25,train-25,user,"I believe such things won't be realized, just daydreaming.",no emotion
train,dailydialog-train-26,train-26,user,"Do you like traveling, Kathy?",no emotion
train,dailydialog-train-26,train-26,system,"I like traveling for pleasure to get places for vacation for instance. But I don't like traveling to work, waiting for buses, or ...",no emotion
train,dailydialog-train-26,train-26,user,Or getting stuck in traffic jams when you're driving.,no emotion
train,dailydialog-train-26,train-26,system,Exactly.,no emotion
train,dailydialog-train-27,train-27,user,Your house is too small. Why not buy a big one.,no emotion
train,dailydialog-train-27,train-27,system,I do wish I could afford one.,no emotion
train,dailydialog-train-27,train-27,user,You can get a loan from the bank. You know LPF program provides low cost loans for participants home purchases.,no emotion
train,dailydialog-train-27,train-27,system,Of course I know that. But don't you notice that the house price is skyrocketing?,no emotion
train,dailydialog-train-28,train-28,user,"How do you do, Prof. Smith.",no emotion
train,dailydialog-train-28,train-28,system,"How do you do, Ms. Yang. You speak very good English.",happiness
train,dailydialog-train-28,train-28,user,Thank you. I begin to like English even when I was a child.,happiness
train,dailydialog-train-28,train-28,system,Where did you learn it?,no emotion
train,dailydialog-train-28,train-28,user,"At school, in China. This is my first time to be out of my own country.",no emotion
train,dailydialog-train-28,train-28,system,It's amazing.,surprise
train,dailydialog-train-29,train-29,user,Do you want black or white coffee?,no emotion
train,dailydialog-train-29,train-29,system,"White, please",no emotion
train,dailydialog-train-29,train-29,user,Look! there's a Folk concert tomorrow evening. Do you Want to go?,no emotion
train,dailydialog-train-29,train-29,system,I don't like Folk music very much.,no emotion
train,dailydialog-train-29,train-29,user,What kind of music do you like?,no emotion
train,dailydialog-train-29,train-29,system,I like classical music. Do you?,no emotion
train,dailydialog-train-29,train-29,user,Not very much. Classical music sends me to sleep,no emotion
train,dailydialog-train-29,train-29,system,I don't believe you.,no emotion
train,dailydialog-train-29,train-29,user,It's true.,no emotion
train,dailydialog-train-29,train-29,system,You are funny!,no emotion
train,dailydialog-train-29,train-29,user,So are you! How about another coffee?,no emotion
train,dailydialog-train-30,train-30,user,What do you like to do in your spare time?,no emotion
train,dailydialog-train-30,train-30,system,I like playing chess.,no emotion
train,dailydialog-train-30,train-30,user,Do you have any hobbies besides playing chess?,no emotion
train,dailydialog-train-30,train-30,system,I'm afraid not.,no emotion
train,dailydialog-train-30,train-30,user,Do you have any hobbies like playing tennis or things like that?,no emotion
train,dailydialog-train-30,train-30,system,"Oh, yes. I like playing basketball.",no emotion
train,dailydialog-train-30,train-30,user,Can you tell me why you like it?,no emotion
train,dailydialog-train-30,train-30,system,Because I like the feeling of cooperating with others.,no emotion
train,dailydialog-train-31,train-31,user,Where is John? I can't find him anywhere.,no emotion
train,dailydialog-train-31,train-31,system,Haven't you heard that he is in prison?,no emotion
train,dailydialog-train-31,train-31,user,What? Beg your pardon.,surprise
train,dailydialog-train-31,train-31,system,John is in prison now. He was copped outstealing.,no emotion
train,dailydialog-train-31,train-31,user,I just cann't believe my ears!,surprise
train,dailydialog-train-32,train-32,user,Can I help you?,no emotion
train,dailydialog-train-32,train-32,system,"I hope so. I'm looking for some material for a paper I'm writing, and I'm not quite sure where to look.",no emotion
train,dailydialog-train-32,train-32,user,I'll certainly try to help you. What topic is your paper on?,no emotion
train,dailydialog-train-32,train-32,system,My paper is on the influence of television on children.,no emotion
train,dailydialog-train-32,train-32,user,There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.,no emotion
train,dailydialog-train-32,train-32,system,Thank you for you help.,happiness
train,dailydialog-train-33,train-33,user,"Hey, Ted. What are you up to this Friday?",no emotion
train,dailydialog-train-33,train-33,system,"Well, I have the day off from work.",no emotion
train,dailydialog-train-33,train-33,user,That's great! Do you have any plans?,happiness
train,dailydialog-train-33,train-33,system,"Well, I'Ve been working so hard lately, so I'll probably just take it easy.",no emotion
train,dailydialog-train-33,train-33,user,Sounds nice.,happiness
train,dailydialog-train-33,train-33,system,"Yeah, I'll probably just stay in and relax. Maybe watch a few movies.",no emotion
train,dailydialog-train-33,train-33,user,Can I stop by?,no emotion
train,dailydialog-train-33,train-33,system,Sure. Any time.,no emotion
train,dailydialog-train-34,train-34,user,You honestly believe the world's improving every year?,no emotion
train,dailydialog-train-34,train-34,system,"Yes, I do. I think that science is making us wiser. What do you think?",no emotion
train,dailydialog-train-34,train-34,user,I don't think you're right there.,no emotion
train,dailydialog-train-34,train-34,system,I believe industry is making us wealthier.,no emotion
train,dailydialog-train-34,train-34,user,I don't believe that.,no emotion
train,dailydialog-train-34,train-34,system,"And in my opinion, medicine is making us healthier.",no emotion
train,dailydialog-train-34,train-34,user,"I agree with you in the sense. But we're all more miserable than ever, aren't we?",no emotion
train,dailydialog-train-34,train-34,system,"I don't agree with you. I maintain that we're healthier, wealthier and wiser than we were a hundred years ago.",no emotion
train,dailydialog-train-34,train-34,user,That's your opinion not mine.,no emotion
train,dailydialog-train-35,train-35,user,What do you plan to do for your birthday?,no emotion
train,dailydialog-train-35,train-35,system,"I want to have a picnic with my friends, Mum.",no emotion
train,dailydialog-train-35,train-35,user,How about a party at home? That way we can get together and celebrate it.,happiness
train,dailydialog-train-35,train-35,system,"OK, Mum. I'll invite my friends home.",happiness
train,dailydialog-train-36,train-36,user,How may I help you?,no emotion
train,dailydialog-train-36,train-36,system,I would like to return this book.,no emotion
train,dailydialog-train-36,train-36,user,Is that all you need?,no emotion
train,dailydialog-train-36,train-36,system,I also want to check out this video.,no emotion
train,dailydialog-train-36,train-36,user,Is that all you would like to check out?,no emotion
train,dailydialog-train-36,train-36,system,That's all I need.,no emotion
train,dailydialog-train-36,train-36,user,Do you have your library card?,no emotion
train,dailydialog-train-36,train-36,system,Here it is.,no emotion
train,dailydialog-train-36,train-36,user,Make sure to take proper care of this video.,no emotion
train,dailydialog-train-36,train-36,system,That won't be a problem.,no emotion
train,dailydialog-train-36,train-36,user,"If you damage the video, you will be fined.",no emotion
train,dailydialog-train-36,train-36,system,I won't damage it.,no emotion
train,dailydialog-train-37,train-37,user,What's the matter with you then? You look miserable.,no emotion
train,dailydialog-train-37,train-37,system,It's us.,no emotion
train,dailydialog-train-37,train-37,user,What do you mean by us.,no emotion
train,dailydialog-train-37,train-37,system,"Well, you always say you're busy.",no emotion
train,dailydialog-train-37,train-37,user,That's right.,no emotion
train,dailydialog-train-37,train-37,system,And you often go back to live with your parents and leave our son in the room by himself.,no emotion
train,dailydialog-train-37,train-37,user,"I ... I ... I miss my parents, also they miss me.",no emotion
train,dailydialog-train-37,train-37,system,"Oh I remember, I cut terrible calls, and you didn't say anything about it.",no emotion
train,dailydialog-train-37,train-37,user,You mean I am groaned a few words?,no emotion
train,dailydialog-train-37,train-37,system,Totally not. Perhaps it's about our marriage.,no emotion
train,dailydialog-train-38,train-38,user,"Hi, Mary. You look pale today. What's the matter with you?",no emotion
train,dailydialog-train-38,train-38,system,I think I've caught a cold. Now I'm aching all over.,no emotion
train,dailydialog-train-38,train-38,user,You'd better take some medicine and have a good rest. I hope you'll be yourself pretty soon.,no emotion
train,dailydialog-train-38,train-38,system,Thank you. I suppose I should go to see a doctor.,no emotion
train,dailydialog-train-39,train-39,user,"I feel like going for a drink, it's been a long day.",happiness
train,dailydialog-train-39,train-39,system,"Great idea! Peter, I could use the drink.",happiness
train,dailydialog-train-39,train-39,user,How about the new bar across road?,happiness
train,dailydialog-train-39,train-39,system,"Sounds good. The food there is fantastic, too.",happiness
train,dailydialog-train-39,train-39,user,"I agree, I had lunch there last week.",happiness
train,dailydialog-train-39,train-39,system,excellent! That sounds like a plan.,happiness
train,dailydialog-train-40,train-40,user,"Could you tell me the right time, please?",no emotion
train,dailydialog-train-40,train-40,system,Well. My watch says five past two. But it's no use rely on it because it has been gaining and losing these last a few days.,no emotion
train,dailydialog-train-40,train-40,user,You have to go and fix it.,no emotion
train,dailydialog-train-40,train-40,system,Yes. I will.,no emotion
train,dailydialog-train-41,train-41,user,does your family have a record of your ancestors?,no emotion
train,dailydialog-train-41,train-41,system,sure. My mom has been working on our family tree for years. She's always updating it.,no emotion
train,dailydialog-train-41,train-41,user,do you have a copy of your family tree in your house? I'd love to see it.,no emotion
train,dailydialog-train-41,train-41,system,"I can show it to you now, if you like. I think it goes back about 8 generations so far.",no emotion
train,dailydialog-train-41,train-41,user,that's amazing. Do you have a large extended family?,no emotion
train,dailydialog-train-41,train-41,system,I'Ve got 30 cousins on my mom's side and 10 cousins on my dad's side.,no emotion
train,dailydialog-train-41,train-41,user,are you very close to your first-cousins?,no emotion
train,dailydialog-train-41,train-41,system,"the ones that are my age are close relatives. Now that I'm older, I don't spend as much time with them as I used to, so I don't know my younger cousins as well as the older ones.",no emotion
train,dailydialog-train-41,train-41,user,I see. who's the head of your household?,no emotion
train,dailydialog-train-41,train-41,system,"it's definitely my mother. And, her mother is definitely the matriarch of the bigger family.",no emotion
train,dailydialog-train-41,train-41,user,that's interesting. What does your grandfather think of your step-mother?,no emotion
train,dailydialog-train-41,train-41,system,"at first, she was quite critical of her, but now that they'Ve been married for a few years, she's starting to accept the fact that my father divorced my mother.",no emotion
train,dailydialog-train-41,train-41,user,"that's pretty much how you feel about your step-mother. Like grandmother, like grandson.",no emotion
train,dailydialog-train-42,train-42,user,"Hi, Mr. Wang. Do you feel like going boating with me?",happiness
train,dailydialog-train-42,train-42,system,"Sounds interesting, I haven't gone boating for some time now, and what time?",happiness
train,dailydialog-train-42,train-42,user,How about tomorrow afternoon?,happiness
train,dailydialog-train-42,train-42,system,Sure. Where shall I meet you?,happiness
train,dailydialog-train-42,train-42,user,At the gate of the park.,happiness
train,dailydialog-train-42,train-42,system,Great. I look forward to meeting you.,happiness
train,dailydialog-train-42,train-42,user,See you then.,happiness
train,dailydialog-train-42,train-42,system,See you.,happiness
train,dailydialog-train-43,train-43,user,I hear that you've been to the Saikei Ski Resort for the weekend. Did you enjoy it?,no emotion
train,dailydialog-train-43,train-43,system,"Yes, it's so exciting, though I had the most falls in our skiing team.",happiness
train,dailydialog-train-43,train-43,user,Isn't there any coach to teach you how to ski?,no emotion
train,dailydialog-train-43,train-43,system,Of course there is. The top-level coaches there are from the State Sports General Administration.,no emotion
train,dailydialog-train-43,train-43,user,Could you move smoothly?,no emotion
train,dailydialog-train-43,train-43,system,Yes. My face even ached in the icy wind.,no emotion
train,dailydialog-train-43,train-43,user,What happened afterwards?,no emotion
train,dailydialog-train-43,train-43,system,I was skiing on and on excitedly until I realized one thing-I could not stop! You can just imagine how terrified I was.,no emotion
train,dailydialog-train-43,train-43,user,Poor girl!,no emotion
train,dailydialog-train-44,train-44,user,You look pale recently.,happiness
train,dailydialog-train-44,train-44,system,Yeah. I have got much pressure in the company. I have tobe wrapped upon my work.,happiness
train,dailydialog-train-44,train-44,user,Take good care of yourself.,happiness
train,dailydialog-train-44,train-44,system,Thank you. I will.,happiness
train,dailydialog-train-45,train-45,user,"Hey, Maggy, Did you hear about David?",no emotion
train,dailydialog-train-45,train-45,system,"About David? No, I didn't hear anything.",no emotion
train,dailydialog-train-45,train-45,user,"You know, about David and his new boss.",no emotion
train,dailydialog-train-45,train-45,system,"Sorry, I don't quite follow you.",no emotion
train,dailydialog-train-45,train-45,user,"Well, I heard David has been fired.",no emotion
train,dailydialog-train-45,train-45,system,"Oh, that is a shame. He is really hard working.",no emotion
train,dailydialog-train-46,train-46,user,how do you usually get to school?,no emotion
train,dailydialog-train-46,train-46,system,I usually ride my bike. Which form of transport do you prefer to use?,no emotion
train,dailydialog-train-46,train-46,user,"I feel that I can see more when I pedal a bicycle, but when I feel lazy, I drive my car.",no emotion
train,dailydialog-train-46,train-46,system,I think we should discourage people from using their private cars. They produce too much pollution!,no emotion
train,dailydialog-train-46,train-46,user,"I agree, but I would find it difficult to stop using my car. It's just so convenient.",no emotion
train,dailydialog-train-46,train-46,system,"cars might be convenient, but they're so bad for the environment.",no emotion
train,dailydialog-train-46,train-46,user,do you have a car?,no emotion
