scene_id,speaker,text,emotion
6,Joey,They didn’t take any of my suggestions!,anger
6,Joey,That’s for coming buddy.,neutral
6,Joey,I’ll see you later.,neutral
6,Chandler,Don’t go!,sadness
6,Chandler,I’m sorry.,sadness
6,Chandler,I’m so sorry!,sadness
6,Chandler,Look!,surprise
6,Chandler,This guy fell asleep!,anger
6,Chandler,He fell asleep too!,anger
6,Chandler,Be mad at him!,anger
6,Chandler,"Or, call an ambulance.",anger
7,Joey,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral
7,Ross,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger
8,Phoebe,"Yes, and it is my dying wish to have that ring.",neutral
8,Phoebe,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral
8,Chandler,"Okay, that’s enough honey!",neutral
8,Customer,I don’t know.  Let me see the ring.,neutral
8,Chandler,"Great! Okay, here.",joy
8,Customer,All right.,neutral
8,Chandler,Thank you. Thank you. Thank you!  And,joy
9,Chandler,What've you been up to?,neutral
9,Jade,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral
9,Jade,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral
9,Chandler,Can you hold on a moment? I have another call.  I love her.,joy
9,Ross,I know.,neutral
9,Chandler,I'm back.,neutral
9,Jade,"So, are we gonna get together or what?",neutral
9,Chandler,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral
9,Jade,"Great, I'll see you then.",neutral
9,Chandler,Ok.  Ok. Having a phone has finally paid off.,joy
9,Ross,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral
9,Chandler,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral
9,Ross,Oh my god. You are pure evil.,disgust
9,Chandler,"Ok, pure evil , horny and alone . I've done this",anger
10,Phoebe,Nobody!,anger
10,Phoebe,Nobody respects the bucket!,anger
10,Phoebe,You wouldn't believe what people put in here!,anger
10,Phoebe,Look!,anger
10,Phoebe,"Okay, does this look like a garbage can to you?",anger
10,Monica,No.,neutral
11,Ross,This is my wedding.,neutral
11,Monica,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger
11,Ross,Fine. You’ll-you’ll watch it on video when we get back.,neutral
11,Chandler,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy
11,Phoebe,Thank you.,neutral
11,Phoebe,Thank you.,neutral
11,Ross,"All right, let’s go! Bye, Pheebs!",joy
11,Joey,"Bye, Pheebs!",joy
11,Joey,London baby!!,joy
11,Phoebe,"Oh, do you need a hug? You don’t have to bring me anything!",joy
12,Chandler,Hey!,neutral
12,Joey,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,joy
12,Chandler,"That’s great, but shouldn’t you be on the toilet right now?",disgust
12,Joey,What?!,surprise
12,Chandler,What’s wrong with you?,disgust
12,Joey,Nothing!,neutral
12,Joey,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fear
12,Joey,"But um, I don’t think it’s anything serious.",neutral
12,Chandler,This sounds like a hernia. You have to—you-you go to the doctor!,surprise
12,Joey,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear
12,Chandler,That’s a hernia.,disgust
12,Joey,Why did I have to start working out again?  Damn you 15s!,anger
13,Mona,I love your place! Where is this guy from?,joy
13,Ross,Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral
13,Mona,"Oh wow! So, you’re more than just dinosaurs.",surprise
13,Ross,So much more.,neutral
14,Ross,"Well, well to sum up, we’re having fun, you look young.",neutral
14,Mona,Okay,neutral
14,Ross,But that’s not enough. So… So…here’s a key to my apartment.,neutral
14,Mona,Really?!,surprise
14,Ross,Really.,neutral
14,Mona,You don’t think this is too fast.,neutral
15,Ross,Get Out!,anger
15,Charlie,"Ross, can I talk to you for a minute?",neutral
15,Ross,"Yes, please!  So, what's going on?",neutral
15,Charlie,"Uh, well... Joey and I broke up.",sadness
15,Ross,"Oh my God, wh-what happened?",surprise
15,Charlie,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness
15,Ross,I knew that was him!,anger
15,Charlie,"Anyway I just, uh, I think it's for the best.",sadness
15,Ross,"Hey, you ok?",neutral
15,Charlie,I guess.,sadness
15,Charlie,There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
15,Charlie,I started to realize that I was having feelings for someone  else.,neutral
15,Paleontologist,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral
15,Ross,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral
15,Charlie,"Yeah, can you guys just throw him in the pool later?",neutral
15,Professore Clerk,Or we could throw you both in,joy
15,Ross,"Ok, gentlemen!",anger
15,Ross,Please!,anger
15,Ross,Aren't we a little old for this?,anger
15,Ross,"I mean, we're scientists, right?",neutral
15,Ross,We're academics.,anger
15,Ross,And most importantly I... you-you will have to catch us first.,joy
15,Ross,"GO, GO, GO!",joy
16,Ross,"Go, go, go!",joy
16,Rachel,"Oh yeah, now everybody wants to be under this hat!",joy
16,Phoebe,Oy!!,disgust
16,Monica,What’s with all this sand?,surprise
16,Phoebe,"Oh, yeah, Bob said there might be flood damage.",neutral
16,Ross,"Yeah, either that, or he has a really big cat.",neutral
17,Joey,"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger
17,Joey,"Oh umm, my big scene is coming up. Big scene coming up.",joy
17,Chandler,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
17,Monica,Rach? What are you doing?,neutral
17,Rachel,"Oh boy, I just can't watch. It's too scary!",fear
17,Monica,It's a diaper commercial.,neutral
17,Rachel,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear
17,Caitlin,Pizza delivery!,joy
17,Ross,I'll get it! I will get that!,joy
17,Caitlin,Hi!,joy
17,Ross,Hi!,joy
18,Ross,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral
18,Joey,"Uhh, the ball thing.",neutral
18,Ross,Yeah?,neutral
18,Joey,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy
18,Ross,"Uhh,",neutral
18,Joey,Okay!,joy
18,Joey,Uh-oh.,fear
18,Ross,What?,neutral
18,Joey,I have to pee. And Rachel's in the bathroom!,sadness
18,Joey,"Man, I didn't think we were gonna make it!",surprise
18,Ross,"I know!  Don't switch hands, okay?",fear
19,Joey,Hey.,neutral
19,Phoebe,Hey!,neutral
20,Rachel,How did it go with Erin?,neutral
20,Joey,"Oh, unbelievable! We had the best time!",joy
20,Phoebe,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",joy
20,Joey,No!,joy
20,Joey,No!,joy
20,Joey,No!,joy
20,Joey,You guys were totally right!,joy
20,Joey,This is so much better than the first time we went out.,joy
20,Joey,Y’know?,neutral
20,Joey,"That was so awkward, we were really nervous.",neutral
20,Phoebe,Didn’t you sleep together?,neutral
20,Joey,"Yeah, that really calms me down.",neutral
20,Joey,And!,joy
20,Joey,We have so much in common!,joy
20,Joey,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy
20,Rachel,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise
20,Joey,Okay.,neutral
21,Monica,How does she do that?,surprise
21,Ross,I cannot sleep in a public place.,neutral
21,Monica,Would you look at her? She is so peaceful.,joy
21,Phoebe,Oh! What what what! ...Hi.,surprise
21,Ross,"It's okay, y'know, you just nodded off again.",neutral
21,Monica,What's going on with you?,surprise
21,Phoebe,I got no sleep last night!,anger
21,Ross,Why?,neutral
21,Phoebe,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust
21,Phoebe,"Oh, and deaf.",neutral
21,Phoebe,"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
21,Phoebe,You have no idea how loud they are!,disgust
21,Monica,"Well, if you want, you can stay with Rachel and me tonight.",neutral
21,Phoebe,Thanks.,joy
22,Joey,Ew! What is that? Something exploded!,disgust
22,Nurse,"It's just her water breaking. Calm down, will you?",neutral
22,Joey,"Water breaking, what do you mean? What's that, water breaking?",surprise
22,Nurse,"Breathe, breathe, breathe.",neutral
23,Monica,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise
23,Chandler,Okay! You don’t think I thought of that?,anger
23,Phoebe,How can you not know which one?,surprise
23,Rachel,I mean that’s unbelievable.,joy
23,Monica,"I mean, was it Gina?",neutral
23,Ross,Which one is Gina?,neutral
23,Rachel,"Dark, big hair, with the airplane earrings.",neutral
23,Monica,"No, no, no, that’s Dina.",neutral
23,Chandler,"You see you can’t tell which one is which either, dwha!!",surprise
24,Rachel,"I don’t know, you thought ‘See you Saturday’ was funny.",neutral
24,Rachel,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral
24,Rachel,You guys would never want to go to a lecture with me.,neutral
24,Ross,Pa-haa!! I would love to go with you.,joy
24,Rachel,Really!?,surprise
24,Ross,"Yeah, hey I-I have clothes, I even pick them out.",neutral
24,Ross,"I mean for, for all you know I could be a fashion..... monger.",neutral
24,Rachel,"Okay. Honey, I would love for you to go with me.  What?",joy
24,Ross,"What should I wear, now I’m all nervous.",fear
25,Mr. Treeger,": I know, we did it!! Hey, that was incredible, huh?!",joy
25,Joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy
25,Mr. Treeger,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy
25,Joey,"Oh well, okay, good luck.",joy
25,Mr. Treeger,: Yeah.,neutral
25,Joey,Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral
25,Mr. Treeger,": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral
25,Joey,Okay.,neutral
25,Mr. Treeger,: Yeah.,neutral
25,Joey,Go get ‘em Treeger.,neutral
25,Mr. Treeger,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral
25,Joey,Really?,surprise
25,Mr. Treeger,": Yeah, you could dance real good with her, she’s the same size as me.",neutral
25,Joey,"No, I’m good.",neutral
26,Ross,"Oh God, this is so nerve wracking! How-how do you do this?",surprise
26,Joey,"Well, unfortunately, I don't get many callbacks so",neutral
26,Carol,Is it a good sign that they asked us to hang around after the audition?,surprise
26,Joey,Who knows?,neutral
26,The Casting Director,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral
26,Ross,Yes!! I knew it!!  Bye-bye! So long! Later!,joy
26,Joey,Oh this is great! I might actually get to play Ben's dad!,joy
26,Ross,Yeah!,joy
26,The Casting Director,"Actually, that can't happen.",neutral
26,The Casting Director,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral
26,The Casting Director,So it'll be either you two  or you two.,neutral
26,Joey,"Man, this is gonna be kinda weird.",sadness
26,Ross,"Yeah, it is.",neutral
26,Ross,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral
27,Monica,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness
27,Chandler,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy
28,Ross,Please!,anger
28,Ross,Are you kidding?,anger
28,Ross,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger
28,Ross,"And it’s all because of you, wonderful, amazing you.",joy
28,Emily,I think you’ve got concussion.,fear
28,Ross,"No, no, I’m serious. Thank you.",joy
28,Emily,You’re welcome.  I’m sorry. Did I hurt you?,fear
28,Ross,"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness
29,Monica,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise
29,Chandler,"I do! Want a hint? huh? ""I do""  ""I do"".",joy
29,Monica,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral
29,Chandler,David is going to propose to Phoebe.,joy
29,Monica,What?  Why?,surprise
29,Monica,"Chandler, we have talked about this.",anger
29,Monica,You are not supposed to give people advice!,anger
29,Monica,Now couldn't you just have made some sort of inappropriate joke?,anger
29,Chandler,I,neutral
29,Monica,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger
29,Monica,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger
29,Chandler,"Man, that's some",surprise
29,Ross,"Oh, that's not what you want...",neutral
30,Elizabeth,"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral
30,Ross,It-it’s great to meet you Paul.,joy
30,Paul,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral
30,Ross,"Of course, of course, Mr. Stevens.",neutral
30,Paul,"So Ross, what your problem?",anger
30,Ross,Eh-wh—Excuse me?,surprise
30,Paul,Why can’t you get a girlfriend your own age?,anger
30,Ross,That’s funny. Umm….  It’s not funny.,fear
30,Paul,I,neutral
30,Ross,Okay.,neutral
30,Ross,"I can, I can see that.",neutral
30,Ross,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear
30,Paul,Okay.,neutral
30,Ross,What?,neutral
30,Paul,Okay. I’ll give you one chance to change my mind.  You got one minute.,anger
30,Elizabeth,Daddy!,surprise
31,Joey,"Oh well, it’s not on TV yet.",neutral
31,The Dry Cleaner,"Well, then it’s not on the wall yet.",neutral
31,Joey,"Okay, fine, I will bring you a tape, huh?",neutral
31,Phoebe,"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",neutral
32,Joey and Chandler,Ooooohh!,surprise
32,Phoebe,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral
32,Monica,Was it...?,surprise
32,Phoebe,"Oh, boy scouts could have camped under there.",neutral
32,Rachel,"""Ooo,"" what?",surprise
32,Phoebe,Uma Thurman.,neutral
32,Monica,Oh!,surprise
32,Ross,The actress!,surprise
32,Ross,Thanks Rach.,neutral
32,Chandler,So what are you gonna do?,surprise
32,Ross,You have to tell her!,joy
32,Ross,You have to tell her!,joy
32,Ross,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger
32,Ross,Guys?,anger
32,Ross,Guys?,anger
32,Chandler,"Oh, yeah, you have to tell her.",neutral
32,Joey,Feminist issue. That's where I went!,neutral
32,Phoebe,She is gonna hate me.,fear
32,Ross,"Yeah, well...",neutral
33,Chandler,Will you marry me?,fear
33,Joey,It’s the big night! We wanted to wish you good luck!,joy
33,Ross,"Yeah, yeah you have the ring?",neutral
33,Chandler,"Yeah, right here in my pocket.  Pheebs?",neutral
33,Phoebe,Oh! Oop!,surprise
33,Chandler,"Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.",neutral
33,Ross,Yeah-yeah you guys. Get out of here!,neutral
33,Monica,Hi guys.,neutral
33,Chandler,You are beautiful.,joy
33,Monica,"Oh, thank you!   What’s going on?",joy
33,Rachel,We’re just really…very excited about this charity event that we have to go to.,neutral
34,Rachel,"Okay umm, Ross?",neutral
34,Rachel,"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral
34,Rachel,"Now, I'm just letting you know that this is",neutral
34,Ross,Yep! That's hilarious!,joy
34,Rachel,I'm sorry. I'm done. I'm done.,neutral
34,Ross,"Y'know, last night was embarrassing for you too.",neutral
34,Rachel,"No, not really. I mean you've seen me naked hundreds of times.",neutral
34,Ross,Uh-huh. But it was a first for the rest of my building.,neutral
34,Rachel,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral
34,Ross,What?! You totally get embarrassed!,surprise
34,Rachel,"No, I don't! Ross, I think I'm just a more secure person than you are.",neutral
34,Ross,Is that so?,neutral
34,Rachel,Yeah.,neutral
34,Ross,Hey lady! I don't care how much you want it! Okay?! I am,disgust
35,Phoebe,I can’t believe it!,surprise
35,Phoebe,I did it!,joy
35,Phoebe,I rode a bike!,joy
35,Phoebe,I never thought I’d be able to do that!,joy
35,Phoebe,Thank you Ross.,joy
35,Ross,"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.",joy
36,Ross,"Hey, both you guys should be up there with me.",neutral
36,Ross,"I mean, you two are-are my… I mean, I’m lucky to have just one good",neutral
36,Chandler,Thanks man.,neutral
36,Joey,I gotta go check something over here.,neutral
36,Chandler,What a baby.,sadness
36,Ross,Total wuss!,sadness
37,Monica,"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral
37,Joey,Wow! This looks great!,joy
37,Monica,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",joy
37,Joey,And-and-and-and-and the toothpicks?,disgust
38,Monica,You kissed another woman!,anger
38,Chandler,Call it even?!,neutral
38,Monica,Okay!,joy
38,Ross,"Well, I’m gonna go get these  in some water.",neutral
38,Phoebe,Wait you stole those from these people’s wedding?,surprise
38,Ross,"No-no, I took them from the hotel lobby.",neutral
38,Ross,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger
38,Ross,Hey!,surprise
38,Ross,My sweater!,surprise
38,Ross,I’ve been looking for this for like a month!,surprise
38,Phoebe,Oh my God!!,surprise
38,Joey,Oh my God!,surprise
39,Kate,Happy?! Is that what I’m supposed to be Vic? Happy?,anger
39,Joey,"Well, why don’t you tell me what you’re supposed to be!",anger
39,Joey,Huh?,surprise
39,Joey,Because I sure as hell can’t figure it out!,anger
39,Joey,I talk to you and nothin’.,anger
39,Joey,"You look at me, and it’s nothin’.",anger
39,Joey,Nothing.,anger
39,The Director,"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",joy
39,Kate,I have a question about this scene.,neutral
39,The Director,Yes?,neutral
39,Kate,"Well, I don’t understand why Adrienne’s attracted to Victor.",disgust
39,The Director,"Peel the onion. First of all, he’s good looking.",neutral
39,Joey,Yeah.,neutral
39,Kate,I think my character’s gonna need a little bit more of reason than that.,neutral
39,Joey,"Oh, hey, how about this one.",neutral
39,Joey,"Ah, it’s says so in the script!",anger
39,Joey,"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",anger
39,Kate,It doesn’t say that in the script.,anger
39,Joey,It does in mine!,anger
40,Phoebe,I can’t,anger
40,Joey,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger
40,Chandler,Y’know who has a great video camera?,neutral
40,Phoebe,Greg and Jenny?,neutral
40,Monica,Do you still wanna call ‘em? I wanna call ‘em.,neutral
40,Chandler,Let’s call ‘em.,neutral
40,Joey,Yeah! Ask them if they brought their friends any souvenirs!,joy
40,Monica,Hello?  Eighth street deli?,neutral
40,Joey,"Hey, hang up! You get food poisoning just talkin’ to that place.",disgust
40,Monica,"Uh sorry, wrong number.",fear
40,Chandler,Here you go.,neutral
40,Monica,Hello?   It’s the deli again!,surprise
40,Joey,All right! I’ll have a sandwich!,joy
40,Monica,I don’t think this number’s right!,sadness
40,Rachel,Oh come on!!,sadness
41,Mr. Tribbiani,"Gotta go. I miss you too, I love you, but it's getting real late now",sadness
41,Joey,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",surprise
41,Mr. Tribbiani,Her name's Ronni. She's a pet mortician.,neutral
41,Joey,Sure. So how long you been...,neutral
41,Mr. Tribbiani,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",neutral
41,Joey,Since then?!,surprise
41,Mr. Tribbiani,"No, it's only been six years.",neutral
41,Mr. Tribbiani,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,neutral
41,Mr. Tribbiani,...Joe.,neutral
41,Mr. Tribbiani,Y'ever been in love?,neutral
41,Joey,...I d'know.,neutral
41,Mr. Tribbiani,Then y'haven't. You're burning your tomatoes.,neutral
41,Joey,You're one to talk.,disgust
41,Mr. Tribbiani,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",neutral
41,Joey,Oh man. Please tell me one of 'em is Ma.,disgust
41,Mr. Tribbiani,"Of course, course one of 'em's Ma. What's the matter with you.",surprise
42,Chandler,"Everything’s gonna be all right. Okay, Dick?",neutral
42,Guru Saj,"Hello, I am Guru Saj--Whoa!!  That’s supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",surprise
43,Monica,"Hey, Rach, how was work?",neutral
43,Rachel,"Oh, great. Although I did sit down where there wasn’t a chair.",neutral
43,Monica,"By the way, Ross dropped by a box of your stuff.",neutral
43,Rachel,"Oh, well, I guess I had that one coming.",neutral
43,Rachel,"I’m just gonna throw it out, it’s probably just a bunch of shampoo and...",neutral
43,Monica,Something wrong?,neutral
43,Rachel,No. Nothing.,neutral
44,Charlie,"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",neutral
44,Ross,"Yeah, that's it?",surprise
44,Charlie,Yeah.,neutral
45,Joey,"Dude, I am sorry about what I said!",sadness
45,Chandler,"No, no, you’re right, it is a ridiculous name!",disgust
45,Joey,It’s not that bad.,neutral
45,Chandler,"Yes it is! From now on, I have no first name.",anger
45,Joey,"So, you’re just Bing?",neutral
46,Monica,Because we won our apartment back!,joy
46,Joey,"What? Ace is high! Jack, queen, king, ace!",surprise
46,Monica,"No! Ace is low! Ace, two, three, four!",anger
46,Phoebe,I don’t know. Ooh! Ooh! Look it!  Ah-ha!,surprise
46,Rachel,"All right, cut, let’s pick again, pick again.",neutral
46,Joey,Okay.,neutral
46,Rachel,Come on apartment! Come on apartment!  Oh! I know queen is high!,anger
46,Joey,"Uh-huh, not as high as… It worked! King!",surprise
46,Chandler,Yeah baby!,joy
46,Monica,"But, we pick again! We pick again!",joy
46,Joey,Why?!,neutral
46,Monica,I don’t know!,fear
46,Chandler,Tickets please!  That’s courtside baby!,joy
46,Joey,"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",surprise
46,Chandler,No they didn’t!,joy
47,Chandler,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",neutral
47,Joey,It's gonna be worth it.,neutral
47,Joey,"It's a known fact that women love babies, all right?",neutral
47,Joey,Women love guys who love babies.,neutral
47,Joey,It's that whole sensitive thing.,neutral
47,Joey,"Quick, aim him at that pack o' babes over there.",neutral
47,Joey,Maybe one of them will break away.,neutral
47,Joey,"No, no wait, for get them, we got one, hard left.",joy
47,Joey,"All right, gimme the baby.",neutral
47,Chandler,"No, I got him.",neutral
47,Chandler,"Oh, seriously you want him?",surprise
47,Joey,Hello.,neutral
47,Chandler,"Well, don't, don't think me immodest, but, me?",surprise
47,Joey,You wanna smell him?,neutral
47,Joey,"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",joy
47,Joey,What'd I tell you? What'd I tell you?,joy
47,Chandler,"Well, we are great guys.",neutral
48,Rachel,Bye.,neutral
49,Ross,"Well, not really.",neutral
49,Ross,"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",neutral
49,Ross,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",anger
49,Monica,"Well Ross, you be careful now. You don’t want to get a reputation as y’know Professor McNailshisstudents.",joy
49,Ross,Yeah. What-what should I do?,fear
49,Joey,"Well Ross, it seems pretty clear.",neutral
49,Joey,I mean what’s more important?,neutral
49,Joey,"What people think or how you feel, huh?",neutral
49,Joey,"Ross, you gotta follow your heart.",neutral
49,Monica,Joey that is so sweet.,joy
49,Chandler,Hey.,neutral
49,Joey,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",neutral
49,Chandler,I couldn’t do it.,sadness
49,Joey,You couldn’t do it?!,surprise
49,Chandler,"Hey, relax I just need more time. We’re going to dinner tonight.",neutral
49,Monica,What?! You’re going out with her again!,surprise
49,Ross,Going out with who?,neutral
49,Chandler,"Uh, Dana Keystone from college.",neutral
49,Ross,Oh yeah! Wasn’t she uh,surprise
49,Chandler,"No, that was Dana Caplin.",neutral
49,Monica,Joey! You didn’t even know her!,surprise
49,Joey,Ah whatever!,anger
50,Joey,"Morning! Hey, how’s my favorite genius and my little robot buddy?!",joy
