conversation_id,speaker,utterance,Emotion_original,Annotated_Emotion_1,Annotated_Emotion_2,Annotated_Emotion,turn_id,LLM_angry,LLM_excited,LLM_frustrated,LLM_happy,LLM_neutral,LLM_sad
CONV_007,Speaker_0,A party celebrating your acceptance.,neutral,excited,happy,happy,4,0,1,0,1,1,0
CONV_007,Speaker_0,"Well, that's really cool that you're going to be staying in the same city and everything. so umm",excited,excited,happy,angry,5,0,1,0,1,1,0
CONV_007,Speaker_1,I know.,excited,happiness,happy,angry,6,0,1,0,1,1,0
CONV_007,Speaker_0,"I don't know are you, like, I don't know.  Are you, like, available or anything?",neutral,neutral,neutral,neutral,7,0,1,1,1,1,0
CONV_007,Speaker_0,"Well I mean I don't know.  It's like you know I kind of had a crush on you throughout high school and, like",excited,neutral,neutral,neutral,8,0,1,1,1,1,1
CONV_007,Speaker_0,"actually, you know, there's this- there's this really cool restaurant, um, I don't know if you-  it's Red Lobster.  It's like down on",excited,neutral,neutral,neutral,9,0,1,1,1,1,1
CONV_007,Speaker_1,[LAUGHTER],excited,happiness,happy,angry,10,0,1,1,1,1,0
CONV_007,Speaker_0,Vermont.,excited,neutral,neutral,angry,11,0,0,0,1,1,0
CONV_007,Speaker_0,"Wait, you've been there before?",excited,neutral,neutral,angry,12,0,1,1,1,1,0
CONV_010,Speaker_1,"How long will it last, this ludicrous, overbearing love of ours?",happy,frustrated,neutral,frustrated,1,1,0,1,0,1,1
CONV_010,Speaker_0,We are figures of fun all right,happy,angry,neutral,sad,2,1,0,1,0,1,1
CONV_010,Speaker_0,Ahh...who knows.,happy,frustrated,neutral,neutral,3,1,0,1,0,1,1
CONV_010,Speaker_1,Shall we always want to bicker and fight?,happy,angry,neutral,neutral,4,1,0,1,0,1,1
CONV_010,Speaker_1,[LAUGHTER] Don't laugh at me I'm being serious.,happy,frustrated,angry,sad,5,1,1,1,1,1,1
CONV_010,Speaker_0,"You mustn't be so serious, darling, it just what they want.",happy,frustrated,happy,happy,6,0,0,1,1,1,1
CONV_010,Speaker_0,Flippancy brings out the acid in their darn sweetness and light.,happy,frustrated,neutral,neutral,7,1,0,1,0,1,1
CONV_010,Speaker_1,"Mmhmm If I must laugh at everything, I must laugh at us too.",happy,excited,neutral,neutral,8,1,0,1,0,1,1
CONV_011,Speaker_0,What?  Do you want me to breathe in your ear?,frustrated,angry,neutral,neutral,1,1,0,1,0,0,0
CONV_011,Speaker_1,No.,frustrated,frustrated,neutral,angry,2,1,0,1,0,1,1
CONV_011,Speaker_1,No...No...No...,frustrated,frustrated,neutral,angry,3,1,0,1,0,1,1
CONV_011,Speaker_1,No...,frustrated,frustrated,neutral,angry,4,1,0,1,0,1,1
CONV_011,Speaker_1,No I'm beginning to think you might be right.,happy,frustrated,neutral,neutral,5,1,0,1,0,1,1
CONV_011,Speaker_1,I think this may be the place for us after all.,happy,frustrated,happy,neutral,6,0,1,0,1,1,0
CONV_011,Speaker_1,I am sorry Augie.,happy,sad,neutral,sad,7,0,0,1,1,1,1
CONV_011,Speaker_0,Shh.  If we're very quiet the fish might come.,happy,frustrated,happy,sad,8,0,1,0,1,1,0
CONV_012,Speaker_1,"Oh, yes I am. Yes I am and you can't stop me.",angry,frustrated,neutral,angry,1,1,1,1,0,0,0
CONV_012,Speaker_0,Just shut up.,angry,angry,angry,angry,2,1,1,1,0,1,0
CONV_012,Speaker_0,shut up. shut up.  I would-I would never marry you again if you came crawling back to me on your hands and knees because you're an evil-minded little vampire and I hope to God I never see you again.,angry,angry,angry,neutral,3,1,1,1,0,0,1
CONV_012,Speaker_1,"Listen, you're a cruel fiend and I hate, loathe you.  Thank God finally, finally thank God I've realized just how horrible you are--and marry you?  Marry you?  Never. I will never marry you.  I will die die in torment-",angry,angry,angry,sad,4,1,1,1,0,0,1
