scene_id,utterance_id,speakers,transcript,emotion,turn_id,predicted_sentiment
s01_e02_c09,s01_e02_c09_u001,Barry Farber,Sorry about that. So. What have you been up to?,Neutral,0,neutral
s01_e02_c09,s01_e02_c09_u002,Rachel Green,"Oh, not much. I-I got a job.",Scared,1,neutral
s01_e02_c09,s01_e02_c09_u003,Barry Farber,"Oh, that's great.",Joyful,2,positive
s01_e02_c09,s01_e02_c09_u004,Rachel Green,Why are- why are you so tanned?,Scared,3,positive
s01_e02_c09,s01_e02_c09_u005,Barry Farber,"Oh, I, uh- I went to Aruba.",Scared,4,positive
s01_e02_c09,s01_e02_c09_u006,Rachel Green,Oh no. You went on our honeymoon alone?,Mad,5,negative
s01_e02_c09,s01_e02_c09_u007,Barry Farber,"No. I went with, uh.. Now, this may hurt.",Neutral,6,neutral
s01_e02_c09,s01_e02_c09_u008,Robbie,Me?!,Neutral,7,negative
s01_e02_c09,s01_e02_c09_u009,Barry Farber,No! I went with Mindy.,Scared,8,positive
s01_e02_c09,s01_e02_c09_u010,Rachel Green,"Mindy?! My maid of honour, Mindy?!",Mad,9,negative
s01_e02_c09,s01_e02_c09_u011,Barry Farber,"Yeah, well, uh, we're kind of a thing now.",Scared,10,neutral
s01_e02_c09,s01_e02_c09_u012,Rachel Green,"Oh! Well, um.. You've got plugs!",Mad,11,positive
s01_e02_c09,s01_e02_c09_u013,Barry Farber,Careful! They haven't quite taken yet.,Mad,12,positive
s01_e02_c09,s01_e02_c09_u014,Rachel Green,And you've got lenses! But you hate sticking your finger in your eye!,Mad,13,negative
s01_e02_c09,s01_e02_c09_u015,Barry Farber,"Not for her. Listen, I really wanted to thank you.",Peaceful,14,positive
s01_e02_c09,s01_e02_c09_u016,Rachel Green,Okay..,Mad,15,neutral
s01_e02_c09,s01_e02_c09_u017,Barry Farber,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Neutral,16,negative
s01_e02_c09,s01_e02_c09_u018,Rachel Green,Wow.,Scared,17,positive
s01_e02_c09,s01_e02_c09_u019,Barry Farber,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Joyful,18,positive
s01_e02_c09,s01_e02_c09_u020,Rachel Green,What?,Scared,19,positive
s01_e02_c09,s01_e02_c09_u021,Robbie,Me.,Sad,20,neutral
s01_e02_c09,s01_e02_c09_u022,Rachel Green,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Sad,21,positive
s01_e02_c09,s01_e02_c09_u023,Barry Farber,"Well, thank you for giving it back.",Sad,22,positive
s01_e02_c09,s01_e02_c09_u025,Robbie,Hello?!,Scared,23,negative
s01_e02_c10,s01_e02_c10_u001,Susan Bunch,"Oh, please! What's wrong with Helen?",Mad,0,negative
s01_e02_c10,s01_e02_c10_u002,Ross Geller,Helen Geller? I don't think so.,Mad,1,negative
s01_e02_c10,s01_e02_c10_u003,Carol Willick,Hello? It's not gonna be Helen Geller.,Powerful,2,negative
s01_e02_c10,s01_e02_c10_u004,Ross Geller,Thank you!,Powerful,3,positive
s01_e02_c10,s01_e02_c10_u005,Carol Willick,"No, I mean it's not Geller.",Powerful,4,neutral
s01_e02_c10,s01_e02_c10_u006,Ross Geller,"What, it's gonna be Helen Willick?",Mad,5,negative
s01_e02_c10,s01_e02_c10_u007,Carol Willick,"No, actually, um, we talked about Helen Willick-Bunch.",Neutral,6,neutral
s01_e02_c10,s01_e02_c10_u008,Ross Geller,"Well, wait a minute, wha- why is she in the title?",Mad,7,negative
s01_e02_c10,s01_e02_c10_u009,Susan Bunch,It's my baby too.,Powerful,8,negative
s01_e02_c10,s01_e02_c10_u010,Ross Geller,"Oh, 's'funny, really? Um, I don't remember you making any sperm.",Mad,9,positive
s01_e02_c10,s01_e02_c10_u011,Susan Bunch,"Yeah, and we all know what a challenge that is!",Mad,10,positive
s01_e02_c10,s01_e02_c10_u012,Carol Willick,"All right, you two, stop it!",Mad,11,negative
s01_e02_c10,s01_e02_c10_u013,Ross Geller,"No no no, she gets a credit, hey, I'm in there too.",Mad,12,neutral
s01_e02_c10,s01_e02_c10_u014,Carol Willick,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Neutral,13,negative
s01_e02_c10,s01_e02_c10_u015,Ross Geller,"Of course not, I'm... suggesting Geller-Willick-Bunch.",Powerful,14,neutral
s01_e02_c10,s01_e02_c10_u016,Susan Bunch,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Mad,15,negative
s01_e02_c10,s01_e02_c10_u017,Ross Geller,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",Mad,16,negative
s01_e02_c10,s01_e02_c10_u018,Dr. Oberman,Knock knock!How are we today? Any nausea?,Neutral,17,negative
s01_e02_c10,s01_e02_c10_u019,#ALL#,Yeah. Yeah. A little.,Neutral,18,negative
s01_e02_c10,s01_e02_c10_u020,Dr. Oberman,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Neutral,19,negative
s01_e02_c10,s01_e02_c10_u021,Ross Geller,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",Sad,20,negative
s01_e02_c10,s01_e02_c10_u023,Ross Geller,Oh my God.,Joyful,21,negative
s01_e02_c10,s01_e02_c10_u024,Susan Bunch,Look at that.,Joyful,22,negative
s01_e02_c10,s01_e02_c10_u025,Carol Willick,I know.,Joyful,23,negative
s01_e02_c11,s01_e02_c11_u001,Ross Geller,Well? Isn't that amazing?,Joyful,0,positive
s01_e02_c11,s01_e02_c11_u002,Joey Tribbiani,What are we supposed to be seeing here?,Neutral,1,positive
s01_e02_c11,s01_e02_c11_u003,Chandler Bing,"I dunno, but.. I think it's about to attack the Enterprise.",Joyful,2,negative
s01_e02_c11,s01_e02_c11_u004,Phoebe Buffay,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Joyful,3,neutral
s01_e02_c11,s01_e02_c11_u005,Ross Geller,"Then don't do that, alright?",Mad,4,neutral
s01_e02_c11,s01_e02_c11_u006,Phoebe Buffay,Okay!,Neutral,5,positive
s01_e02_c11,s01_e02_c11_u007,Ross Geller,Monica. Whaddya think?,Neutral,6,neutral
s01_e02_c11,s01_e02_c11_u008,Monica Geller,Mm-hmm.,Sad,7,neutral
s01_e02_c11,s01_e02_c11_u009,Ross Geller,Wh- are you welling up?,Neutral,8,negative
s01_e02_c11,s01_e02_c11_u010,Monica Geller,No.,Neutral,9,neutral
s01_e02_c11,s01_e02_c11_u011,Ross Geller,"You are, you're welling up.",Powerful,10,negative
s01_e02_c11,s01_e02_c11_u012,Monica Geller,Am not!,Mad,11,negative
s01_e02_c11,s01_e02_c11_u013,Ross Geller,You're gonna be an aunt.,Joyful,12,positive
s01_e02_c11,s01_e02_c11_u014,Monica Geller,Oh shut up!,Joyful,13,negative
s01_e02_c11,s01_e02_c11_u015,Rachel Green,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",Mad,14,positive
s01_e03_c01,s01_e03_c01_u001,Phoebe Buffay,Hi guys!,Joyful,0,positive
s01_e03_c01,s01_e03_c01_u002,#ALL#,"Hey, Pheebs! Hi!",Joyful,1,positive
s01_e03_c01,s01_e03_c01_u003,Ross Geller,"Hey. Oh, oh, how'd it go?",Joyful,2,neutral
s01_e03_c01,s01_e03_c01_u004,Phoebe Buffay,"Um, not so good. He walked me to the subway and said 'We should do this again!'",Sad,3,positive
s01_e03_c01,s01_e03_c01_u005,#ALL#,Ohh. Ouch.,Sad,4,negative
s01_e03_c01,s01_e03_c01_u006,Rachel Green,"What? He said 'we should do it again', that's good, right?",Neutral,5,positive
s01_e03_c01,s01_e03_c01_u007,Monica Geller,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",Neutral,6,neutral
s01_e03_c01,s01_e03_c01_u008,Rachel Green,Since when?,Neutral,7,negative
s01_e03_c01,s01_e03_c01_u009,Joey Tribbiani,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Neutral,8,neutral
s01_e03_c01,s01_e03_c01_u010,Chandler Bing,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,Neutral,9,negative
s01_e03_c01,s01_e03_c01_u011,Phoebe Buffay,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Mad,10,neutral
s01_e03_c01,s01_e03_c01_u012,Rachel Green,And everybody knows this?,Neutral,11,negative
s01_e03_c01,s01_e03_c01_u013,Joey Tribbiani,Yeah. Cushions the blow.,Neutral,12,neutral
s01_e03_c01,s01_e03_c01_u014,Chandler Bing,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",Neutral,13,neutral
s01_e03_c01,s01_e03_c01_u015,Ross Geller,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",Neutral,14,neutral
s01_e03_c01,s01_e03_c01_u016,Monica Geller,"Uh, Ross.",Neutral,15,neutral
s01_e03_c01,s01_e03_c01_u017,Ross Geller,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",Scared,16,positive
s01_e03_c02,s01_e03_c02_u001,Chandler Bing,"""So how does it feel knowing you're about to die?""",Neutral,0,negative
s01_e03_c02,s01_e03_c02_u002,Joey Tribbiani,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",Peaceful,1,negative
s01_e03_c02,s01_e03_c02_u003,Chandler Bing,"Hey, that was really good!",Joyful,2,positive
s01_e03_c02,s01_e03_c02_u004,Joey Tribbiani,Thanks! Let's keep going.,Powerful,3,positive
s01_e03_c02,s01_e03_c02_u005,Chandler Bing,"Okay. ""So. Whaddya want from me, Damone, huh?""",Neutral,4,neutral
s01_e03_c02,s01_e03_c02_u006,Joey Tribbiani,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",Neutral,5,negative
s01_e03_c02,s01_e03_c02_u007,Chandler Bing,"""Smoke away.""",Neutral,6,neutral
s01_e03_c02,s01_e03_c02_u009,Chandler Bing,I think this is probably why Damone smokes in his cell alone.,Neutral,7,neutral
s01_e03_c02,s01_e03_c02_u010,Joey Tribbiani,What?,Scared,8,negative
s01_e03_c02,s01_e03_c02_u011,Chandler Bing,Relax your hand!,Powerful,9,negative
s01_e03_c02,s01_e03_c02_u013,Chandler Bing,Not so much!,Powerful,10,negative
s01_e03_c02,s01_e03_c02_u014,Joey Tribbiani,Whoah!,Scared,11,positive
s01_e03_c02,s01_e03_c02_u015,Chandler Bing,Hey!,Powerful,12,positive
s01_e03_c02,s01_e03_c02_u016,Joey Tribbiani,Hey!,Powerful,13,positive
s01_e03_c02,s01_e03_c02_u017,Chandler Bing,"Alright, now try taking a puff.",Neutral,14,neutral
s01_e03_c02,s01_e03_c02_u019,Chandler Bing,Alright.. okay. No. Give it to me.,Neutral,15,neutral
s01_e03_c02,s01_e03_c02_u020,Joey Tribbiani,"No no no, I am not giving you a cigarette.",Neutral,16,negative
s01_e03_c02,s01_e03_c02_u021,Chandler Bing,"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",Powerful,17,neutral
s01_e03_c02,s01_e03_c02_u023,Chandler Bing,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Powerful,18,neutral
s01_e03_c02,s01_e03_c02_u024,Joey Tribbiani,Y'miss it?,Neutral,19,neutral
s01_e03_c02,s01_e03_c02_u025,Chandler Bing,"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",Scared,20,positive
s01_e03_c06,s01_e03_c06_u001,Monica Geller,Hi.. how was the game?,Neutral,0,neutral
s01_e03_c06,s01_e03_c06_u002,Ross Geller,Well..,Neutral,1,neutral
s01_e03_c06,s01_e03_c06_u003,#ALL#,WE WON!! Thank you! Yes!,Joyful,2,positive
s01_e03_c06,s01_e03_c06_u004,Monica Geller,Fantastic! I have one question: How is that possible?,Joyful,3,positive
s01_e03_c06,s01_e03_c06_u005,Joey Tribbiani,Alan.,Neutral,4,neutral
s01_e03_c06,s01_e03_c06_u006,Ross Geller,"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Joyful,5,positive
s01_e03_c06,s01_e03_c06_u007,Rachel Green,"I mean, it-it was like, it was like he made us into a team.",Sad,6,positive
s01_e03_c06,s01_e03_c06_u008,Chandler Bing,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Joyful,7,positive
s01_e03_c06,s01_e03_c06_u009,Monica Geller,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,Scared,8,positive
s01_e03_c06,s01_e03_c06_u010,Ross Geller,What?,Neutral,9,positive
s01_e03_c06,s01_e03_c06_u011,Monica Geller,"..I dunno, a little too Alan?",Neutral,10,neutral
s01_e03_c06,s01_e03_c06_u012,Rachel Green,"Well, no. That's impossible. You can never be too Alan.",Mad,11,positive
s01_e03_c06,s01_e03_c06_u013,Ross Geller,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Joyful,12,positive
s01_e03_c06,s01_e03_c06_u014,Chandler Bing,I personally could have a gallon of Alan.,Joyful,13,positive
s01_e03_c07,s01_e03_c07_u001,Phoebe Buffay,"Hey, Lizzie.",Neutral,0,neutral
s01_e03_c07,s01_e03_c07_u002,Lizzy,"Hey, Weird Girl.",Neutral,1,neutral
s01_e03_c07,s01_e03_c07_u003,Phoebe Buffay,I brought you alphabet soup.,Neutral,2,neutral
s01_e03_c07,s01_e03_c07_u004,Lizzy,Did you pick out the vowels?,Neutral,3,neutral
s01_e03_c07,s01_e03_c07_u005,Phoebe Buffay,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.",Neutral,4,neutral
s01_e03_c07,s01_e03_c07_u006,Lizzy,Saltines?,Neutral,5,neutral
s01_e03_c07,s01_e03_c07_u007,Phoebe Buffay,"No, but would you like a thousand dollars and a football phone?",Neutral,6,neutral
s01_e03_c07,s01_e03_c07_u008,Lizzy,"What? Oh my God, there's really money in here.",Joyful,7,positive
s01_e03_c07,s01_e03_c07_u009,Phoebe Buffay,I know.,Neutral,8,neutral
s01_e03_c07,s01_e03_c07_u010,Lizzy,"Weird Girl, what are you doing?",Neutral,9,negative
s01_e03_c07,s01_e03_c07_u011,Phoebe Buffay,"No, I want you to have it. I don't want it.",Neutral,10,neutral
s01_e03_c07,s01_e03_c07_u012,Lizzy,"No, no, I ha-I have to give you something.",Neutral,11,negative
s01_e03_c07,s01_e03_c07_u013,Phoebe Buffay,"Oh, that's fine, no.",Neutral,12,neutral
s01_e03_c07,s01_e03_c07_u014,Lizzy,Would you like my tin-foil hat?,Joyful,13,neutral
s01_e03_c07,s01_e03_c07_u015,Phoebe Buffay,"No. 'Cause you need that. No, it's okay, thanks.",Neutral,14,neutral
s01_e03_c07,s01_e03_c07_u016,Lizzy,"Please, let me do something.",Neutral,15,negative
s01_e03_c07,s01_e03_c07_u017,Phoebe Buffay,"Okay, alright, you buy me a soda, and then we're even. Okay?",Neutral,16,neutral
s01_e03_c07,s01_e03_c07_u018,Lizzy,Okay.,Neutral,17,neutral
s01_e03_c07,s01_e03_c07_u019,Phoebe Buffay,Okay.,Neutral,18,neutral
s01_e03_c09,s01_e03_c09_u001,Ross Geller,A thumb?!,Neutral,0,negative
s01_e03_c09,s01_e03_c09_u003,#ALL#,Eww!,Scared,1,negative
s01_e03_c09,s01_e03_c09_u004,Phoebe Buffay,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Mad,2,negative
s01_e03_c09,s01_e03_c09_u005,Chandler Bing,"Well, maybe it's a contest, y'know? Like, collect all five?",Neutral,3,negative
s01_e03_c09,s01_e03_c09_u006,Phoebe Buffay,"Does, um, anyone wanna see?",Neutral,4,negative
s01_e03_c09,s01_e03_c09_u007,#ALL#,Nooo!,Scared,5,negative
s01_e03_c09,s01_e03_c09_u009,#ALL#,"Oh, hey, don't do that! Cut it out!",Scared,6,negative
s01_e03_c09,s01_e03_c09_u010,Rachel Green,It's worse than the thumb!,Scared,7,negative
s01_e03_c09,s01_e03_c09_u011,Chandler Bing,"Hey, this is so unfair!",Neutral,8,negative
s01_e03_c09,s01_e03_c09_u012,Monica Geller,"Oh, why is it unfair?",Neutral,9,negative
s01_e03_c09,s01_e03_c09_u013,Chandler Bing,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",Scared,10,negative
s01_e03_c09,s01_e03_c09_u015,Joey Tribbiani,...Does the knuckle-cracking bother everybody?,Sad,11,negative
s01_e03_c09,s01_e03_c09_u016,Rachel Green,"Well, I-I could live without it.",Neutral,12,negative
s01_e03_c09,s01_e03_c09_u017,Joey Tribbiani,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",Neutral,13,negative
s01_e03_c09,s01_e03_c09_u019,Ross Geller,"Oh, now, don't listen to him, Pheebs, I think it's endearing.",Joyful,14,negative
s01_e03_c09,s01_e03_c09_u020,Joey Tribbiani,"Oh, ""you do, do you""?",Joyful,15,negative
s01_e03_c09,s01_e03_c09_u022,Ross Geller,"You know, there's nothing wrong with speaking correctly.",Neutral,16,neutral
s01_e03_c09,s01_e03_c09_u023,Rachel Green,"""Indeed there isn't""... I should really get back to work.",Neutral,17,negative
s01_e03_c09,s01_e03_c09_u024,Phoebe Buffay,"Yeah, 'cause otherwise someone might get what they actually ordered.",Neutral,18,neutral
s01_e03_c09,s01_e03_c09_u025,Rachel Green,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",Mad,19,positive
s01_e03_c10,s01_e03_c10_u001,Monica Geller,Did you ever go out with a guy your friends all really like?,Neutral,0,neutral
s01_e03_c10,s01_e03_c10_u002,Paula,No.,Neutral,1,neutral
s01_e03_c10,s01_e03_c10_u003,Monica Geller,"Okay.. Well, I'm going out with a guy my friends all really like.",Peaceful,2,neutral
s01_e03_c10,s01_e03_c10_u004,Paula,"Waitwait.. we talking about the coyotes here? All right, a cow got through!",Joyful,3,negative
s01_e03_c10,s01_e03_c10_u005,Monica Geller,"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",Scared,4,negative
s01_e03_c10,s01_e03_c10_u006,Paula,"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",Powerful,5,negative
s01_e03_c10,s01_e03_c10_u007,Monica Geller,I know.. it's gonna be really hard.,Sad,6,negative
s01_e03_c10,s01_e03_c10_u008,Paula,"Well, he's a big boy, he'll get over it.",Powerful,7,negative
s01_e03_c10,s01_e03_c10_u009,Monica Geller,"No, he'll be fine. It's the other five I'm worried about.",Sad,8,negative
s01_e03_c11,s01_e03_c11_u001,Joey Tribbiani,Do you have any respect for your body?,Neutral,0,negative
s01_e03_c11,s01_e03_c11_u002,Ross Geller,Don't you realise what you're-you're doing to yourself?,Mad,1,negative
s01_e03_c11,s01_e03_c11_u003,Chandler Bing,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Mad,2,negative
