dialog_id;speaker;utterance;Annotated_Emotion
dailydialog-test-101;system;Okay. Enjoy your browsing.;neutral
dailydialog-test-469;system;It's kind of you to meet me at the airport.;happiness 
dailydialog-test-469;user;Welcome to Beijing. Is this your first time in China?;neutral
dailydialog-test-469;system;No, I have visited China several times, but it's my first visit to Beijing and I think it's a great honor to be invited to your beautiful city.;happiness 
dailydialog-test-469;user;It's our pleasure to have you here. I hope you will have a pleasant stay here.;happiness 
dailydialog-test-958;user;I also know you must still have strong feelings for her, but try to think of all the bad things. You know she didn't treat you that well. Is that the person you want to spend the rest of your life with?;neutral
dailydialog-test-958;system;Yeah. Thanks for the talk.;sadness 
dailydialog-test-958;user;I'll give you a call later. We should hang out. It's good to be around people.;happiness 
dailydialog-test-958;system;Ok. I'll talk to you later.;neutral
dailydialog-test-894;user;Good afternoon!;happiness 
dailydialog-test-894;system;Good afternoon! Sit down, please. How are you?;neutral
dailydialog-test-894;user;I'm very well, thank you. How are you?;happiness 
dailydialog-test-894;system;Very well too, thank you very much. Isn' t it a lovely day?;happiness 
dailydialog-test-942;system;Yes. I'Ve won the first prize in the math contest.;happiness 
dailydialog-test-942;user;Really? Congratulations!;surprise
dailydialog-test-942;system;Thank you, Paul.;happiness 
dailydialog-test-942;user;By the way, would you like to have dinner with me tomorrow evening? Tomorrow is my birthday.;happiness 
dailydialog-test-864;system;Well, maybe I can help. Remember my neighbor?;neutral
dailydialog-test-864;user;Mrs. Thou?;neutral
dailydialog-test-864;system;Yes, her daughter's having a baby, so she's moving in with her to help out. I think if you are interested, you can come over and have a look.;neutral
dailydialog-test-864;user;Great. It's a lovely neighborhood. And it would be nice to be neighbors again. It would be just like the old days!;happiness 
dailydialog-test-819;user;Some guy in the accounting department has a brother on the team!;happiness 
dailydialog-test-819;system;Can't beat that! Thank you accounting guy!;happiness 
dailydialog-test-819;user;The game starts at seven so we'd better hustle, it's already five.;neutral
dailydialog-test-819;system;What are we waiting for? Let's go!;neutral
