dialog_id,speaker,utterance,emotion_original,Annotated_Emotion_1,Annotated_Emotion_2,Annotated_Emotion_4,Annotated_Emotion_3,turn_id,LLM_anger,LLM_disgust,LLM_fear,LLM_joy,LLM_sadness,LLM_surprise,LLM_neutral
54,Ross,What?!,surprise,surprise,surprise,surprise,neutral,4,1,1,1,0,1,1,1
88,Joey,Can we please turn this off?,sadness,anger,neutral,anger,neutral,1,1,1,1,0,1,0,1
88,Rachel,"Noo way, Kevin.",joy,surprise,anger,disgust,neutral,2,1,0,0,1,0,1,1
88,Mike,There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,neutral,neutral,joy,joy,3,0,0,0,1,0,1,1
88,Ross,Are you intrigued?,surprise,anger,neutral,neutral,neutral,4,0,0,0,1,0,1,1
88,Rachel,"Noo way, Kevin.",joy,surprise,neutral,surprise,neutral,5,1,1,0,1,0,1,1
88,Mike,There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,neutral,neutral,joy,neutral,6,0,0,0,1,0,1,1
88,Ross,Are you intrigued?,surprise,neutral,neutral,neutral,joy,7,0,0,0,1,0,1,1
88,Chandler,You're flingin'-flangin' right I am!,joy,surprise,anger,sadness,neutral,8,1,0,0,1,0,1,1
139,Rachel,Rachel.,neutral,neutral,neutral,neutral,anger,1,0,0,0,0,1,1,1
139,Ross,"Rachel! Well, you-you’re not at home, you’re-you’re-you’re right here.",surprise,surprise,surprise,neutral,anger,2,1,0,0,1,1,1,1
139,Rachel,"Yeah I know, and I bet you thought it would be weird. But it’s not!",joy,neutral,anger,neutral,neutral,3,0,0,0,1,0,0,1
139,Ross,"Okay. So well I’ll umm,  I’ll have her home by midnight.",neutral,joy,neutral,neutral,neutral,4,0,0,0,1,0,0,1
140,Ross,Or that.,neutral,neutral,neutral,sadness,neutral,1,0,0,0,0,0,0,1
140,Joey,I can't write!,anger,anger,fear,sadness,neutral,2,1,0,1,0,1,0,1
140,Joey,"Y'know I mean I-I-I'm an actor, I don't have the discipline that takes, y'know?",sadness,anger,fear,neutral,joy,3,1,0,1,0,1,0,1
140,Joey,I can't do it.,sadness,sadness,sadness,sadness,neutral,4,1,0,1,0,1,0,1
154,Ross,Together? Like-like to people?,surprise,surprise,neutral,surprise,neutral,1,0,1,1,1,0,1,1
154,Mona,"Yeah, y’know. Happy holidays from Mona and Ross. It’ll be cute, okay?",joy,joy,joy,neutral,surprise,2,0,0,0,1,0,0,1
154,Ross,Okay.,joy,neutral,neutral,neutral,joy,3,0,1,1,1,1,1,1
154,Mona,"Oh, I gotta get to work. So call me later?",neutral,neutral,neutral,neutral,neutral,4,0,0,0,1,0,0,1
167,Rachel,"Oh-oh-oh, symbolism! And uh, the-the uh, wildness of the mores, which",joy,surprise,surprise,joy,neutral,1,0,0,0,0,0,1,1
167,The Teacher,Excellent! What Rachel has shrewdly observed here,joy,joy,joy,joy,neutral,2,0,0,0,1,0,1,1
167,Phoebe,You completely stole my answer!,anger,anger,anger,sadness,neutral,3,1,1,0,0,1,1,1
167,Rachel,"Well, honey that was pretty obvious.",sadness,neutral,neutral,neutral,anger,4,1,1,0,0,0,0,1
175,Rachel,Okay please tell me that this is just one of your jokes that you do that I don’t get.,joy,anger,surprise,anger,neutral,1,1,1,1,0,1,1,1
175,Tag,Like what?,neutral,neutral,neutral,surprise,neutral,2,1,0,0,0,0,1,1
175,Rachel,"Y’know, like the thing when you put the phone in your pants?",disgust,disgust,neutral,disgust,neutral,3,1,1,0,0,0,1,1
175,Rachel,Tag!,anger,surprise,neutral,neutral,joy,4,1,1,1,1,0,1,1
210,Chandler,We said seven!,anger,anger,anger,neutral,joy,1,1,0,0,0,0,1,1
210,Monica,We said six!,anger,anger,anger,neutral,neutral,2,1,0,0,0,0,1,1
210,Chandler,"The only way that I said six would be if the seven’s, let meet at seven, not at six.",neutral,anger,neutral,neutral,neutral,3,1,0,0,1,0,1,1
210,Monica,"Yeah and if I had seven, maybe I would’ve said something like this, ""Wow! My boyfriend’s such a wise ass—seven!""",anger,anger,neutral,anger,neutral,4,1,1,0,1,0,1,1
223,Chandler,"Which is funny because in high school I uh, I-I failed Biology and tonight Biology failed me.",fear,sadness,joy,neutral,neutral,1,1,0,1,1,1,1,1
223,Phoebe,"Check it out. Okay, I can play this when the guests are coming in. Okay.",neutral,neutral,neutral,neutral,neutral,2,0,0,0,0,0,0,1
223,Monica,Phoebe!,joy,anger,surprise,neutral,joy,3,1,1,0,1,0,1,1
223,Phoebe,"If you would’ve let me finish, it goes on to say that he’s probably not gay.",neutral,neutral,neutral,neutral,joy,4,1,0,0,1,0,1,1
233,Rachel,We did!,joy,joy,joy,neutral,surprise,1,0,0,0,1,0,1,1
233,Phoebe,"Oh, anyway, they say, if we want, we can see it tonight.",neutral,joy,neutral,neutral,neutral,2,0,0,0,1,0,1,1
233,Rachel,"Oh, I would love to!",joy,joy,joy,joy,joy,3,0,0,0,1,0,1,1
233,Phoebe,"Yay, okay!",joy,joy ,joy,joy,joy,4,0,0,0,1,0,1,1
233,Phoebe,"Yes, but I wanted you to want to live with me, but okay, if you're having so much fun over here",sadness,sadness,sadness,sadness,neutral,5,1,0,0,0,1,0,1
233,Rachel,"Oh, it's so much more fun with you.",joy,joy,joy,joy,anger,6,0,0,0,1,0,0,1
233,Phoebe,"We did have fun, didn't we?",joy,joy,neutral,neutral,sadness,7,0,0,0,1,1,1,1
233,Rachel,We did!,joy,joy,joy,neutral,neutral,8,0,0,0,1,0,0,1
237,Joey,It's creamier.,neutral,neutral,neutral,neutral,sadness,1,0,1,0,1,0,1,1
237,Monica,"Yeah, well, is that",neutral,neutral,neutral,neutral,neutral,2,1,1,0,0,0,1,1
237,Joey,"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?",disgust,sadness,anger,joy,neutral,3,1,1,1,0,1,1,1
237,Rachel,My God! What happened to you?,surprise,surprise,surprise,surprise,neutral,4,1,1,1,0,1,1,1
240,Dina,What are you going to do? Kill him? Like you did with Charles?!,anger,surprise,fear,anger,surprise,1,1,1,1,0,1,1,1
240,Jessica Lockhart,"Oh, my baby!",sadness,sadness,fear,neutral,neutral,2,1,0,1,0,1,1,1
240,Joey,That was a great scene! And-and-and that slap looks so real! How do you do that?,surprise,joy,surprise,surprise,neutral,3,0,0,0,1,0,1,1
240,Cecilia,"Oh, just years of experience.",neutral,neutral,neutral,neutral,surprise,4,0,0,0,1,0,0,1
241,Joey,Much!,joy,neutral,joy,neutral,neutral,1,0,0,0,1,0,1,1
241,Joey,"Listen uh, not that I’m y’know insecure about my manhood or anything y’know, but I think I need to hook up with a woman like right now.",neutral,sadness,neutral,neutral,neutral,2,1,0,1,0,1,0,1
241,Phoebe,"Yeah, I understand.",neutral,neutral,neutral,neutral,neutral,3,0,0,0,0,1,0,1
241,Joey,Yeah! Okay!  Hey! Hi!,joy,surprise,neutral,neutral,neutral,4,0,0,0,1,0,1,1
266,Ross,I just want this to be  about what it is!,joy,anger,joy,sadness,neutral,1,1,1,1,0,1,0,1
266,Rachel,"And um, what-what is that Ross?",neutral,surprise,surprise,neutral,neutral,2,0,0,1,0,1,1,1
266,Ross,The physical act of love.,joy,neutral,joy,neutral,neutral,3,0,1,0,0,0,0,1
266,Rachel,What?! Are you crazy?,surprise,surprise,surprise,anger,anger,4,1,1,1,0,1,1,1
278,Chandler,"Oooh, I’m afraid that does not exist.",neutral,fear,neutral,fear,surprise,1,1,0,0,1,0,0,1
278,Monica,"That’s not true, there are great pictures of us!",surprise,joy,neutral,neutral,surprise,2,1,0,0,1,1,1,1
278,Chandler,"No, there are great pictures of you standing next to a guy who’s going like this",neutral,joy,disgust,neutral,surprise,3,1,1,0,1,0,0,1
278,Phoebe,Oh my God! That’s the creep that you’re with at the,surprise,sadness,surprise,surprise,surprise,4,1,1,1,0,0,1,1
